variable,value,lms_period
AGNH,249.0,2000-01-01
AGNI,2765.0,2000-01-01
AGNJ,3013.0,2000-01-01
AGNM,1632.0,2000-01-01
AGNP,1381.0,2000-01-01
AGNT,920.0,2000-01-01
AGOJ,79.0,2000-01-01
AGOK,329.0,2000-01-01
AGOL,408.0,2000-01-01
AGOO,243.0,2000-01-01
AGOR,165.0,2000-01-01
AGOU,162.0,2000-01-01
AGPK,58.0,2000-01-01
AGPL,504.0,2000-01-01
AGPM,562.0,2000-01-01
AGPP,142.0,2000-01-01
AGPS,420.0,2000-01-01
AGPV,1193.0,2000-01-01
AIVZ,62.8,2000-01-01
AIWG,64.5,2000-01-01
AIWH,76.8,2000-01-01
AIWI,75.6,2000-01-01
AIWL,80.9,2000-01-01
AIWX,70.2,2000-01-01
AIXB,40.4,2000-01-01
AIXR,24.0,2000-01-01
AIXS,10.6,2000-01-01
AIXT,11.9,2000-01-01
AIXW,13.0,2000-01-01
AIXZ,10.7,2000-01-01
AIYC,15.0,2000-01-01
AIYL,28.1,2000-01-01
AIYS,15.0,2000-01-01
AIYT,14.0,2000-01-01
AIYU,14.1,2000-01-01
AIYX,7.0,2000-01-01
AIZA,21.4,2000-01-01
AIZD,52.5,2000-01-01
JN5R,6259.0,2000-01-01
JN62,2275.0,2000-01-01
JN69,385.0,2000-01-01
JN6A,3598.0,2000-01-01
JN6B,3984.0,2000-01-01
JN6E,2017.0,2000-01-01
JN6H,1966.0,2000-01-01
LF2Q,5.9,2000-01-01
LF2S,23.3,2000-01-01
MGUQ,3933.0,2000-01-01
MGVF,570.0,2000-01-01
MGVU,1756.0,2000-01-01
MGWY,12.7,2000-01-01
YBVH,172.0,2000-01-01
YBVN,398.0,2000-01-01
YBXG,23.0,2000-01-01
YBXJ,10.0,2000-01-01
YBXM,5.6,2000-01-01
YBXV,63.0,2000-01-01
YBXY,56.0,2000-01-01
YBYB,14.2,2000-01-01
AGNH,251.0,2000-02-01
AGNI,2756.0,2000-02-01
AGNJ,3006.0,2000-02-01
AGNM,1638.0,2000-02-01
AGNP,1369.0,2000-02-01
AGNT,925.0,2000-02-01
AGOJ,78.0,2000-02-01
AGOK,335.0,2000-02-01
AGOL,413.0,2000-02-01
AGOO,241.0,2000-02-01
AGOR,171.0,2000-02-01
AGOU,169.0,2000-02-01
AGPK,60.0,2000-02-01
AGPL,506.0,2000-02-01
AGPM,565.0,2000-02-01
AGPP,146.0,2000-02-01
AGPS,419.0,2000-02-01
AGPV,1183.0,2000-02-01
AIVZ,62.8,2000-02-01
AIWG,64.6,2000-02-01
AIWH,76.6,2000-02-01
AIWI,75.5,2000-02-01
AIWL,80.9,2000-02-01
AIWX,69.9,2000-02-01
AIXB,40.6,2000-02-01
AIXR,23.7,2000-02-01
AIXS,10.8,2000-02-01
AIXT,12.1,2000-02-01
AIXW,12.8,2000-02-01
AIXZ,11.1,2000-02-01
