Quarter,MGSC,MGSX,YBWF,YBWG,YBWH,YBWI,YBWL,LF2I,LF2Q,LF2Y,LF32,LF34,LF36,LF38,YBVH,YBVK,YBXD,YBXG,YBXJ,YBXM,YBXP,YBVN,YBVQ,YBXS,YBXV,YBXY,YBYB,YBYE,MGVI,MGXB,YBYH,YBYK,YBYN,YBYQ,YBYT,YBVT,YBVW,YBYW,YBYZ,YBZC,YBZF,YBZI
Mar-May 1992,2795738.3616648186,9.833181907839103,1236217.654298293,574643.9532115851,984876.7541549403,35.227786965317506,453643.0,2771842.3063387317,9.924448756938055,1230307.249183508,570769.5195721434,970765.5375830798,35.022394144252154,442170.0,148298.60452458047,18.06005284961169,117281.57347279304,21743.472337247622,9273.5587145398,6.253301401094917,*,711645.6719797153,15.745715302206012,356661.30545110884,154673.96838207758,200310.39814652893,28.147490532653524,68698.9521353252,1481647.123737669,8.623321329745746,621515.9773182286,305661.65109482664,554469.4953246139,37.42250677920424,254952.0,454146.9614228534,7.68560727939889,140758.79805616243,92564.8613974332,220823.3019692577,48.6237541428028,128013.0
Apr-Jun 1992,2777367.6537507586,9.785393959513424,1196827.8835443626,575377.9424605478,1005161.8277458483,36.191169231354905,462927.0869,2755380.323222652,9.884015271610057,1192669.7439046884,572011.5926831738,990698.9866347896,35.95507227387335,453940.0432,154422.89529805063,18.846433226442016,119046.21438658738,26147.696447001974,9228.984464461282,5.97643532498758,*,703256.6689307438,15.707942262944108,335485.593695121,154430.68125788795,213340.39397773496,30.33606411470014,70550.88658013701,1465585.1040438097,8.529381046699463,598151.4016850536,307955.04467346903,559478.6576852873,38.17442304384688,260534.11226,454102.9854781541,7.6920287471319835,144144.67377760063,86844.5200821888,223113.79161836472,49.132861653273196,130608.70453
May-Jul 1992,2802624.9090812695,9.887805542272732,1169607.1681335869,575620.0321617416,1057397.7087859414,37.72883432812162,486995.818,2780378.7135647647,9.982907884815999,1164464.272059963,572317.8840193555,1043596.5574854459,37.534331290698,476642.4803,160526.32880980265,19.635095554303238,120717.25485732843,27963.572880516873,11845.501071957367,7.379164003677142,*,704380.248490572,15.875010869469389,327223.8863380223,155402.97402108414,221753.3881314656,31.482056546398706,72681.507818606,1477716.9784785705,8.596765263728585,582808.050048887,309756.58917099825,585152.3392586851,39.59840400975476,274825.14162,460001.3533023246,7.796039728956083,138857.9768893491,82496.89608914233,238646.48032383324,51.879517008070344,139389.48549
Jun-Aug 1992,2816125.839176409,9.93651034029277,1151498.2623152588,578350.6882694111,1086276.8885917387,38.57344986079976,501810.7343,2794467.297623717,10.032132347852476,1143189.5187092028,573560.1490407735,1077717.629873741,38.56612066243112,492968.45900000003,155254.85969079012,19.158961815477348,115011.45811202493,26811.682552621125,13431.71902614408,8.651400061096357,*,714329.9898200064,16.109091187853586,331889.36651346495,156779.93647937177,225660.68682716973,31.590537992676282,76656.9657645806,1479620.3206130709,8.607398861758321,565718.2172600012,312301.55130475847,601600.5520483112,40.65911664412949,284582.79839,466920.66905254114,7.905310245594907,138879.2204297677,82457.5179326597,245583.93069011375,52.59650021243307,141241.19579
Jul-Sep 1992,2814524.837473295,9.937055357617014,1139528.9970730473,587462.3203208508,1087533.520079397,38.64003989588938,510884.34660000005,2793342.42712404,10.031984889845956,1134479.490544002,584438.1909483197,1074424.745631718,38.463767821617225,502518.7642,146301.3687860322,18.399937917513252,105428.39374398175,27254.97579464216,13617.999247408288,9.308183074708483,*,723869.6092711664,16.36185954343489,337740.8607631462,161326.3118278219,224802.43668019844,31.0556533664319,80063.3920752874,1474326.401585599,8.563877918332686,560374.221628146,312881.7503563338,601070.4296011194,40.769155931460226,287423.95373,470027.45783049724,7.9819317635284746,135985.52093777352,85999.28234205297,248042.65455067076,52.771949897471885,143454.90599
Aug-Oct 1992,2849869.0811370304,10.068678471190843,1155623.1460326263,585884.3728544591,1108361.5622499448,38.89166592199157,521102.8508,2829973.020799742,10.168852619931997,1149748.1828283863,583136.9287791636,1097087.909192192,38.766726789577596,513754.4566,135175.2070790527,17.700053664554314,97363.09475438358,23370.009346304178,14442.102978364925,10.683988055530733,*,740436.8174434362,16.698537990505603,350117.0306853766,165098.48029225264,225221.30646580685,30.41735650631825,79745.07774479399,1502867.3949934882,8.719234029603824,567719.7168997912,313362.44252639124,621785.2355673056,41.37326005199545,293319.35618999996,471389.6616210536,8.03017593410645,140423.30369307497,84053.44068951099,246912.91723846758,52.3797905090585,147230.61619
Sep-Nov 1992,2898811.3351645404,10.241256795098703,1166079.1023682095,580887.1624609779,1151845.0703353528,39.73508232021497,555348.2227,2880096.339617993,10.34405167662795,1160862.5139758827,579879.2049702568,1139354.6206718534,39.55960101053334,547378.5372,136924.83105434262,18.011955122474756,93783.88201364127,26849.863475141578,16291.085565559739,11.897831416052028,*,750677.6492929441,16.93489226455939,364120.8407454773,159182.01160218148,227374.79694528534,30.289272254135636,86214.5827507271,1518471.0662818605,8.801653941262433,555694.3964956282,308802.5164400477,653974.1533461846,43.06793641761713,316788.09212,492737.7885353932,8.408202461195316,152479.98311346277,86052.77094360723,254205.0344783231,51.590326618528394,151012.32649
Oct-Dec 1992,2931640.310575964,10.37111901413199,1188959.6135306729,566508.4318619474,1176172.2651833438,40.11993766562268,575058.9674,2912254.185354348,10.469290220295642,1180495.8602934475,564030.4337803712,1167727.891280529,40.097045688971896,566698.3223,143304.85205624276,18.943536541158295,98481.56234343402,26592.037207970625,18231.25250483809,12.72200643819295,*,749834.8799468235,17.014859676388244,362351.6506663504,159857.8990513645,227625.3302291085,30.35672736979789,86631.50317055211,1538507.674229564,8.91576969683266,575028.1107654143,295968.07226201054,667511.4912021393,43.38694582959477,326941.54842,499992.9043433338,8.549963679926636,153098.2897554741,84090.42334060176,262804.1912472579,52.56158416736175,160176.03669
Nov-Jan 1993,2982756.2984845517,10.545767030343647,1205969.2796564966,569396.6999547686,1207390.3188732862,40.47901330345777,598494.8339,2964559.6135131344,10.650879330128266,1197150.8264086433,565768.2924237543,1201640.4946807367,40.53352441298151,591348.3055,148625.81936907003,19.80718827684724,99747.20258493317,29613.212290041723,19265.404494095113,12.962353765905876,*,758732.7722017677,17.237529764045437,358809.15916656866,159854.8820300271,240068.73100517178,31.64074886451998,96986.48736494269,1557675.8317797906,9.01986693969786,580634.2200342909,292810.43079652305,684231.1809489764,43.92641697259809,342495.28505,517721.8751339234,8.831022740719153,166778.69787070376,87118.1748381767,263825.0024250429,50.958828493927776,158219.74699
Dec-Feb 1993,3023283.177939596,10.683897174993987,1242006.7635781993,560469.0412166703,1220807.3731447267,40.38018608553637,610660.1935,3005600.8225813294,10.794194472155292,1234260.5309041378,556451.7025828771,1214888.5890943143,40.42082301704056,605482.3413,147847.44829685095,20.045572267029016,97819.41656527622,29098.394341387706,20929.63739018702,14.156238495346967,*,774878.0787529396,17.60459800286721,366664.89620494365,160159.53152161682,248053.65102637908,32.01195876202713,102850.9629802311,1585712.2247143544,9.174704701253257,611332.9854668356,279213.1652439805,695166.0740035385,43.83935894350336,351468.28740000003,514845.4261754514,8.76344178753993,166189.46534114383,91997.95010968525,256658.0107246223,49.85146952381727,154260.45719
