Quarter,JN5P,YBTO,YBVH,YCAS,JN5Y,AGNR,AGOS,AGPT,JN69,AGNH,AGOJ,AGPK,YBUA,YBVK,LWEX,AIWY,AIYA,AIZB,AIWG,AIXR,AIYS,JN5Q,YBTR,YBVN,YCAV,JN5Z,AGNS,AGOT,AGPU,JN6A,AGNI,AGOK,AGPL,YBUD,YBVQ,LWFA,AIXA,AIYB,AIZC,AIWH,AIXS,AIYT,JN5R,MGUQ,MGVF,MGVU,JN62,AGNT,AGOU,AGPV,JN6B,AGNJ,AGOL,AGPM,AIVZ,MGWY,AIYL,AIXB,AIYC,AIZD,AIWI,AIXT,AIYU
Mar-May 1992,1378335.0,672842.9821555994,148298.60452458047,557193.4133198203,890081.8235859971,359292.54977538035,48064.67035881482,482724.60345180193,488253.1764140031,313550.432380219,100233.93416576565,74468.80986801843,48.81563496215357,18.06005284961169,40.42510807023113,40.36623827771791,11.799145315990947,54.23373342317921,64.21882079356942,24.223712220559804,15.25208917532455,5782689.0,3807969.0823910306,711645.6719797153,1263074.2456292536,983597.666283777,325505.52436870476,38063.31729184368,620028.8246232285,4799091.333716223,3482463.558022326,673582.3546878718,643045.421006025,65.85118242380025,15.745715302206012,21.84233400117581,33.09336078424503,10.46935626221294,63.036833644168546,72.56506108888006,16.20728858234923,13.39931616821463,7161024.0,4480812.06454663,859944.2765042959,1820267.658949074,1873679.489869774,684798.0741440852,86127.9876506585,1102753.4280750304,5287344.510130225,3796013.990402545,773816.2888536374,717514.2308740434,62.5722252089454,16.101544829792413,25.419097309952797,36.548303903976695,11.172016606903837,58.854966072755325,71.794338029792,16.933151595721604,13.570408160454276
Apr-Jun 1992,1373726.25,664951.7494564347,154422.89529805063,554351.6052455142,884907.576265135,359502.8168266866,45143.05379820457,480261.7056402438,488818.6737348646,305448.93262974813,109279.84149984606,74089.89960527042,48.40496783521715,18.846433226442016,40.35386273251415,40.62602993456265,11.156187935018473,54.27252726971209,62.48716529095275,26.349712948949684,15.156929059027057,5766015.583333333,3773820.3228135183,703256.6689307438,1288938.5915890697,999227.5970677279,337069.670664047,35319.60992647259,626838.3164772084,4766787.986265604,3436750.6521494715,667937.0590042713,662100.2751118614,65.44936045129232,15.707942262944108,22.35406014709267,33.73302255193821,9.484593614097646,62.732286249568126,72.09782902138026,16.27254266358129,13.889862041684042,7139741.833333332,4438772.072269954,857679.5642287945,1843290.1968345838,1884135.173332863,696572.4874907336,80462.66372467717,1107100.0221174522,5255606.66000047,3742199.5847792197,777216.9005041174,736190.1747171319,62.169924009670005,16.19347486000587,25.817322808911797,36.970409413808696,10.355086716324264,58.75905496520685,71.20395088278705,17.197284274086787,14.007710666784678
May-Jul 1992,1369125.5,657021.6600240057,160526.32880980265,551577.5111661917,889016.1778102838,355778.0368169403,50554.670586374996,482683.4704069686,480109.3221897163,301243.62320706545,109971.65822342766,68894.04075922313,47.98841742586824,19.635095554303238,40.28684814987316,40.019298376914726,12.441693633142787,54.29411550145865,62.744797754214076,26.743086453613707,14.3496569583374,5749413.166666667,3732657.648883261,704380.248490572,1312375.2692928347,1012273.552564227,339426.31658157206,32961.137278006354,639886.0987046487,4737139.61410244,3393231.3323016884,671419.1112125656,672489.170588186,64.92241104751463,15.875010869469389,22.826247327320008,33.53108611024746,8.85130176550886,63.2127646804295,71.63038476214753,16.51849576102942,14.196101980743595,7118538.666666668,4389679.308907267,864906.5773003746,1863952.7804590263,1901289.7303745109,695204.3533985124,83515.80786438135,1122569.5691116173,5217248.936292157,3694474.9555087537,781390.7694359933,741383.2113474092,61.66545571301619,16.460033122126745,26.18448627928634,36.564882368642095,10.724752230498195,59.042530508514155,70.81270226170918,17.457868878442266,14.210232641770443
Jun-Aug 1992,1364389.75,655096.25007221,155254.85969079012,554038.640237,899839.916343108,353702.8180285095,52325.069198165016,493812.02911643346,464549.83365689206,301393.4320437005,102929.79049262512,60226.611120566464,48.013864811884574,19.158961815477348,40.607065557110786,39.307304733261354,12.887062895005863,54.8777643831643,64.87860078888848,25.45730365101095,12.964510318832387,5733216.75,3719998.31268919,714329.9898200064,1298888.4474908048,1035075.3359741581,346179.44993342017,41292.332681582804,647603.5533591552,4698141.414025843,3373818.86275577,673037.6571384236,651284.8941316496,64.88501089182071,16.109091187853586,22.655491744504598,33.444855451764234,10.656861875955341,62.56583756289247,71.81177758258964,16.631122300229723,13.86260728949755,7097606.500000001,4375094.5627614,869584.8495107966,1852927.087727805,1934915.252317266,699882.2679619296,93617.40187974782,1141415.5824755887,5162691.247682735,3675212.2947994703,775967.4476310487,711511.505252216,61.641830422148644,16.580324194383106,26.106365402587546,36.1712104508839,11.798039172269194,58.99046901969596,71.18791572998062,17.432849099177023,13.781794632239084
Jul-Sep 1992,1359629.0,648817.4486898736,146301.3687860322,564510.1825240939,914170.4831222361,353407.37377892644,53171.5068286405,507591.6025146691,445458.51687776356,295410.074910947,93129.86195739171,56918.580009424826,47.720183130094576,18.399937917513252,41.519427911885806,38.6588038340406,13.077783762202358,55.52482954613157,66.31595619306772,23.96918646459496,12.777526493009805,5716960.333333333,3700258.390052817,723869.6092711664,1292832.334009348,1109234.903507484,368934.9570485905,57132.98960005415,683166.9568588393,4607725.429825848,3331323.4330042265,666736.6196711123,609665.3771505087,64.72422711205594,16.36185954343489,22.613981182821128,33.260309054645724,13.409361124076447,61.58902453381281,72.29865328868209,16.676503376305195,13.23137384020626,7076589.33333333,4349075.83874269,870170.9780571987,1857342.5165334418,2023405.3866297198,722342.330827517,110304.49642869465,1190758.5593735082,5053183.946703611,3626733.5079151737,759866.481628504,666583.9571599335,61.45723079134954,16.67234772757369,26.246295058901847,35.69933813563107,13.24745291976632,58.84923343793663,71.77125444406259,17.322447532024686,13.191365368655777
Aug-Oct 1992,1354838.25,628524.2123738453,135175.2070790527,591138.8305471023,917781.7016241831,340043.1531431611,44192.942514408816,533545.6059666132,437056.5483758171,288481.0592306842,90982.26456464388,57593.22458048904,46.391088557903146,17.700053664554314,43.631690391609645,37.05054835386154,11.50150727999106,58.13426057878539,66.00543117423435,23.976563440876085,13.177522404026687,5700669.916666667,3693704.7694693296,740436.8174434362,1266528.329753902,1076992.438159723,360443.10884629143,53712.15731693638,662837.1719964952,4623677.478506945,3333261.660623038,686724.6601264998,603691.1577574068,64.7942228451132,16.698537990505603,22.217184090084537,33.467561709364205,12.9690871287309,61.5452020377318,72.0911368952014,17.082761117417387,13.056515307645286,7055508.166666668,4322228.981843174,875612.0245224889,1857667.1603010043,1994774.139783906,700486.2619894525,97905.0998313452,1196382.7779631084,5060734.026882762,3621742.7198537225,777706.9246911437,661284.3823378959,61.26034978264629,16.845686958299595,26.32931769645514,35.11606893326461,12.262795480159568,59.975851606574,71.56556145047188,17.677368478474754,13.066965756847418
Sep-Nov 1992,1350153.5,623263.7776963646,136924.83105434262,589964.8912492924,898664.5372689259,328475.2855337831,42506.523138244724,527682.7285968981,451488.9627310737,294788.49216258153,94418.3079160979,62282.16265239424,46.162438396550066,18.011955122474756,43.69613464315668,36.55149078565305,11.45784567992747,58.71854365151039,65.29251354881296,24.25916194090414,13.794836151840142,5684409.5,3682049.9852603013,750677.6492929441,1251681.865446754,1044244.34181843,346793.52277028916,44717.900444861385,652732.9186032795,4640165.15818157,3335256.4624900124,705959.7488480827,598948.9468434744,64.77453788753785,16.93489226455939,22.01955832785717,33.209997783314634,11.421863525112823,62.50768067046655,71.87796875310066,17.468992301560895,12.907923024838968,7034562.999999999,4305313.762956666,887602.4803472867,1841646.7566960463,1942908.879087356,675268.8083040722,87224.42358310611,1180415.6472001777,5091654.120912643,3630044.954652594,800378.0567641808,661231.1094958687,61.20229164138079,17.092562998523476,26.179973890290647,34.75555727663702,11.439370204929531,60.7550698803052,71.29402093011639,18.065499720945006,12.98656770066203
Oct-Dec 1992,1345393.75,613179.3014960084,143304.85205624276,588909.5964477486,897074.572108961,327154.5037772298,50415.734316772396,519504.3340149587,448319.17789103877,286024.7977187786,92889.11773947036,69405.26243278984,45.57619667075222,18.943536541158295,43.77228573031119,36.46904214530481,13.352676993630144,57.91094187338736,63.799367018890976,24.514570183344304,15.481216476012175,5668160.083333334,3657106.4302267754,749834.8799468235,1261218.773159734,1015647.2411069969,331750.5478532675,42155.46912384998,641741.2241298794,4652512.842226336,3325355.882373508,707679.4108229734,619477.5490298546,64.5201683872715,17.014859676388244,22.25093777552655,32.663954021248415,11.274348956633622,63.18544452800546,71.47440523307074,17.547067143617394,13.314902506178147,7013553.833333332,4270285.731722784,893139.7320030662,1850128.3696074823,1912721.813215958,658905.0516304974,92571.20344062237,1161245.558144838,5100832.020117374,3611380.6800922863,800568.5285624438,688882.8114626444,60.88619027100622,17.297426645887708,26.379327992242292,34.448556349271016,12.318579970548962,60.71168060724816,70.79983551407335,18.14546112616172,13.50530283580663
Nov-Jan 1993,1340502.0,601737.2169776878,148625.81936907003,590138.9636532422,895363.2725445719,319551.69707051234,56072.28505430087,519739.29041975865,445138.7274554283,282185.51990717556,92553.53431476917,70399.67323348351,44.888945855932164,19.80718827684724,44.023728696655596,35.68961413420102,14.92777024968258,58.047867983538005,63.39271388949882,24.698128810442316,15.815220939304284,5652000.666666666,3642900.0753559805,758732.7722017677,1250367.8191089183,1021846.8916371418,331164.5149423126,46602.94717571068,644079.4295191185,4630153.775029524,3311735.560413668,712129.825026057,606288.3895897997,64.45328460133433,17.237529764045437,22.12257026937574,32.408428077883634,12.336411112387134,63.03091341670698,71.52539032880286,17.697655284465633,13.09434673335301,6992502.666666666,4244637.292333668,907358.5915708377,1840506.7827621605,1917210.1641817137,650716.2120128248,102675.23223001155,1163818.7199388773,5075292.502484953,3593921.0803208435,804683.359340826,676688.0628232833,60.70269107751505,17.611787975327033,26.321145239398703,33.94078667898976,13.628404332783587,60.70376329533011,70.81209759952152,18.29406054531969,13.332986473035094
Dec-Feb 1993,1335882.25,589709.186791241,147847.44829685095,598325.614911908,899510.1138294511,310123.1103586419,58949.210491020014,530437.7929797892,436372.13617054897,279586.07643259916,88898.23780583093,67887.82193211885,44.143799858950224,20.045572267029016,44.78879893133605,34.476889763736644,15.972265369375235,58.969630782868684,64.07056116968191,24.12537911947828,15.557322822643746,5635808.25,3626688.367846622,774878.0787529396,1234241.8034004385,1013268.4798963721,333445.9695184799,49256.55634026174,630565.9540376305,4622539.770103628,3293242.3983281422,725621.5224126778,603675.849362808,64.35081193272717,17.60459800286721,21.899996391829664,32.907958367814,12.87071629060601,62.23088614205378,71.24313823381804,18.05538920260131,13.059397633895856,6971690.5,4216397.554637863,922725.5270497904,1832567.4183123466,1912778.5937258229,643569.0798771218,108205.76683128176,1161003.7470174194,5058911.906274177,3572828.4747607415,814519.7602185088,671563.6712949269,60.47884016993961,17.954921732420807,26.285840117434166,33.64576966660527,14.39337420040768,60.69723651371211,70.62444535414106,18.56519511545819,13.274863918109316
