Quarter,LF2M,LF63,LF65,LF67,LF69,LFL8,LF6B,LF6D,LFL9,LFM2,LF6V,LF6X,LF6Z,LF73,LF75,LF77,LF79,LF7B,LF7D,LF7F,LFM2.1,LF6F,LFP7,LF6H,LFP8,LF8B,LF6J,LF7H,LF7J,LF7L,LF7N,LF7P,LF7R,LF7T,LFL9.1,LF6L,LF6N,LF6P,LF6R,LF8E,LF6T,LF7V,LF7X,LF7Z,LF83,LF85,LF87,LF89
Mar-May 1992,8428354.595439648,,,,,,,,,,100.0,,,,,,,,,,1989330.3605025979,,,,,,,100.0,,,,,,,6439024.234937049,,,,,,,100.0,,,,,,
Apr-Jun 1992,8481002.73632233,,,,,,,,,,100.0,,,,,,,,,,1985287.1000909698,,,,,,,100.0,,,,,,,6495715.63623136,,,,,,,100.0,,,,,,
May-Jul 1992,8506768.27929266,,,,,,,,,,100.0,,,,,,,,,,1991311.2053473736,,,,,,,100.0,,,,,,,6515457.073945286,,,,,,,100.0,,,,,,
Jun-Aug 1992,8500965.717829408,,,,,,,,,,100.0,,,,,,,,,,2000140.858015485,,,,,,,100.0,,,,,,,6500824.859813922,,,,,,,100.0,,,,,,
Jul-Sep 1992,8511906.288173938,,,,,,,,,,100.0,,,,,,,,,,1995638.3555144737,,,,,,,100.0,,,,,,,6516267.932659464,,,,,,,100.0,,,,,,
Aug-Oct 1992,8525902.367582776,,,,,,,,,,100.0,,,,,,,,,,1996011.8744505602,,,,,,,100.0,,,,,,,6529890.493132215,,,,,,,100.0,,,,,,
Sep-Nov 1992,8511037.36268054,,,,,,,,,,100.0,,,,,,,,,,2003703.4621232855,,,,,,,100.0,,,,,,,6507333.900557254,,,,,,,100.0,,,,,,
Oct-Dec 1992,8536284.174597835,,,,,,,,,,100.0,,,,,,,,,,2012595.7855249504,,,,,,,100.0,,,,,,,6523688.389072884,,,,,,,100.0,,,,,,
Nov-Jan 1993,8518693.97397104,,,,,,,,,,100.0,,,,,,,,,,2008652.047498608,,,,,,,100.0,,,,,,,6510041.926472433,,,,,,,100.0,,,,,,
Dec-Feb 1993,8507114.417753441,,,,,,,,,,100.0,,,,,,,,,,1977317.849784383,,,,,,,100.0,,,,,,,6529796.567969059,,,,,,,100.0,,,,,,
Jan-Mar 1993,8518692.933628954,,,,,,,,,,100.0,,,,,,,,,,2049599.5093314853,,,,,,,100.0,,,,,,,6469093.424297469,,,,,,,100.0,,,,,,
Feb-Apr 1993,8556560.425458515,,,,,,,,,,100.0,,,,,,,,,,2105097.8011085065,,,,,,,100.0,,,,,,,6451462.6243500095,,,,,,,100.0,,,,,,
Mar-May 1993,8556939.067294627,1450577.3609354496,3023835.7671389203,206486.53597659734,1812698.2101747156,166551.6357099905,1084924.8949773253,811864.6623816283,6371717.55790819,2185221.509386438,100.0,16.95205901932484,35.33782049116472,2.413088773365315,21.183956037539257,1.9463926808426801,12.678890038191385,9.487792959571797,74.46257952521194,25.537420474788075,2185221.509386438,321683.76776578475,822488.6502426461,127594.68304139508,425620.1870260617,166551.6357099905,321282.5856005599,100.0,14.720876871475902,37.63868544720589,5.838981654414561,19.477210214060474,7.621727820021072,14.70251799282211,6371717.55790819,1128893.593169665,2201347.116896275,78891.8529352023,1387078.023148654,1084924.8949773253,490582.07678106846,100.0,17.717257284396585,34.54872405893284,1.2381567798353916,21.769295492815697,17.02719690753998,7.699369476479504
Apr-Jun 1993,8564917.323069595,1441377.4829102918,3016165.4884412787,201122.3399721607,1833950.3851795685,165495.0626946087,1100387.8387218828,806418.7251498041,6388254.059331125,2176663.2637384706,100.0,16.828854600008142,35.21534855120248,2.348211108009623,21.412353628211044,1.9322435518303014,12.847617755258295,9.415370805480121,74.58628984221914,25.413710157780866,2176663.2637384706,299875.664390568,818461.0065365201,117664.36217490473,439066.0130758302,165495.0626946087,336101.15486603876,100.0,13.776851449016714,37.601636420821194,5.4057218741686945,20.17151758796737,7.603154123636332,15.441118544389687,6388254.059331125,1141501.818519724,2197704.4819047586,83457.97779725597,1394884.3721037381,1100387.8387218828,470317.5702837653,100.0,17.868760508238832,34.40227112906757,1.3064285957029447,21.835142421523983,17.22517339639272,7.362223949073958
May-Jul 1993,8565281.51503345,1425547.629213961,2995974.552853769,204581.47603425646,1856899.1370383527,170664.98959107936,1102862.4379390806,808751.2923629505,6345371.3508650055,2219910.1641684445,100.0,16.64332487743567,34.97812123974386,2.388496813270912,21.679370768832236,1.9925204944114772,12.875962523863102,9.44220328244275,74.0824611511934,25.917538848806593,2219910.1641684445,295174.99613579246,825886.9922173093,118226.73001698329,458888.1387733298,170664.98959107936,351068.3174339506,100.0,13.296709069592552,37.20362227030381,5.3257438938421995,20.671473385736064,7.687923247786413,15.814528132738975,6345371.3508650055,1130372.6330781686,2170087.56063646,86354.74601727315,1398010.9982650229,1102862.4379390806,457682.97492899984,100.0,17.814128922873447,34.19953601833929,1.3609092556182896,22.031980808726743,17.380581481472124,7.212863512970098
