constituency_code,constituency_name,value
E14000530,Aldershot,0.55
E14000531,Aldridge-Brownhills,0.633
E14000532,Altrincham and Sale West,0.82
E14000533,Amber Valley,0.616
E14000534,Arundel and South Downs,0.701
E14000535,Ashfield,0.605
E14000536,Ashford,0.696
E14000537,Ashton-under-Lyne,0.642
E14000538,Aylesbury,0.746
E14000539,Banbury,0.688
E14000540,Barking,0.7
E14000541,Barnsley Central,0.552
E14000542,Barnsley East,0.622
E14000543,Barrow and Furness,0.62
E14000544,Basildon and Billericay,0.685
E14000545,Basingstoke,0.655
E14000546,Bassetlaw,0.6859999999999999
E14000547,Bath,0.7759999999999999
E14000548,Batley and Spen,0.705
E14000549,Battersea,0.759
E14000550,Beaconsfield,0.843
E14000551,Beckenham,0.805
E14000552,Bedford,0.621
E14000553,Bermondsey and Old Southwark,0.722
E14000554,Berwick-upon-Tweed,0.5579999999999999
E14000555,Bethnal Green and Bow,0.758
E14000556,Beverley and Holderness,0.701
E14000557,Bexhill and Battle,0.6940000000000001
E14000558,Bexleyheath and Crayford,0.763
E14000559,Birkenhead,0.615
E14000560,"Birmingham, Edgbaston",0.726
E14000561,"Birmingham, Erdington",0.5579999999999999
E14000562,"Birmingham, Hall Green",0.716
E14000563,"Birmingham, Hodge Hill",0.613
E14000564,"Birmingham, Ladywood",0.6709999999999999
E14000565,"Birmingham, Northfield",0.589
E14000566,"Birmingham, Perry Barr",0.677
E14000567,"Birmingham, Selly Oak",0.753
E14000568,"Birmingham, Yardley",0.624
E14000569,Bishop Auckland,0.628
E14000570,Blackburn,0.71
E14000571,Blackley and Broughton,0.615
E14000572,Blackpool North and Cleveleys,0.524
E14000573,Blackpool South,0.473
E14000574,Blaydon,0.7490000000000001
E14000575,Blyth Valley,0.6559999999999999
E14000576,Bognor Regis and Littlehampton,0.61
E14000577,Bolsover,0.637
E14000578,Bolton North East,0.74
E14000579,Bolton South East,0.6629999999999999
E14000580,Bolton West,0.534
E14000581,Bootle,0.47100000000000003
E14000582,Boston and Skegness,0.624
E14000583,Bosworth,0.747
E14000584,Bournemouth East,0.81
E14000585,Bournemouth West,0.642
E14000586,Bracknell,0.687
E14000587,Bradford East,0.5529999999999999
E14000588,Bradford South,0.547
E14000589,Bradford West,0.643
E14000590,Braintree,0.635
E14000591,Brent Central,0.6920000000000001
E14000592,Brent North,0.748
E14000593,Brentford and Isleworth,0.779
E14000594,Brentwood and Ongar,0.778
E14000595,Bridgwater and West Somerset,0.59
E14000596,Brigg and Goole,0.71
E14000597,"Brighton, Kemptown",0.545
E14000598,"Brighton, Pavilion",0.8290000000000001
E14000599,Bristol East,0.6759999999999999
E14000600,Bristol North West,0.6729999999999999
E14000601,Bristol South,0.539
E14000602,Bristol West,0.777
E14000603,Broadland,0.7140000000000001
E14000604,Bromley and Chislehurst,0.703
E14000605,Bromsgrove,0.745
E14000606,Broxbourne,0.6970000000000001
E14000607,Broxtowe,0.737
E14000608,Buckingham,0.7659999999999999
E14000609,Burnley,0.542
E14000610,Burton,0.632
E14000611,Bury North,0.7040000000000001
E14000612,Bury South,0.608
E14000613,Bury St Edmunds,0.6940000000000001
E14000614,Calder Valley,0.691
E14000615,Camberwell and Peckham,0.748
E14000616,Camborne and Redruth,0.617
E14000617,Cambridge,0.76
E14000618,Cannock Chase,0.595
E14000619,Canterbury,0.688
E14000620,Carlisle,0.61
E14000621,Carshalton and Wallington,0.7909999999999999
E14000622,Castle Point,0.6579999999999999
E14000623,Central Devon,0.732
E14000624,Central Suffolk and North Ipswich,0.747
E14000625,Charnwood,0.7020000000000001
E14000626,Chatham and Aylesford,0.625
E14000627,Cheadle,0.768
E14000628,Chelmsford,0.8109999999999999
E14000629,Chelsea and Fulham,0.863
E14000630,Cheltenham,0.7190000000000001
E14000631,Chesham and Amersham,0.7879999999999999
E14000632,Chesterfield,0.6920000000000001
E14000633,Chichester,0.638
E14000634,Chingford and Woodford Green,0.782
E14000635,Chippenham,0.698
E14000636,Chipping Barnet,0.84
E14000637,Chorley,0.721
E14000638,Christchurch,0.755
E14000639,Cities of London and Westminster,0.858
E14000640,City of Chester,0.706
E14000641,City of Durham,0.684
E14000642,Clacton,0.488
E14000643,Cleethorpes,0.687
E14000644,Colchester,0.706
E14000645,Colne Valley,0.7
E14000646,Congleton,0.7709999999999999
E14000647,Copeland,0.7170000000000001
E14000648,Corby,0.639
E14000649,Coventry North East,0.621
E14000650,Coventry North West,0.6679999999999999
E14000651,Coventry South,0.6709999999999999
E14000652,Crawley,0.61
E14000653,Crewe and Nantwich,0.619
E14000654,Croydon Central,0.653
E14000655,Croydon North,0.6679999999999999
E14000656,Croydon South,0.722
E14000657,Dagenham and Rainham,0.662
E14000658,Darlington,0.65
E14000659,Dartford,0.757
E14000660,Daventry,0.6729999999999999
E14000661,Denton and Reddish,0.599
E14000662,Derby North,0.624
E14000663,Derby South,0.544
E14000664,Derbyshire Dales,0.7609999999999999
E14000665,Devizes,0.652
E14000666,Dewsbury,0.703
E14000667,Don Valley,0.6679999999999999
E14000668,Doncaster Central,0.623
E14000669,Doncaster North,0.657
E14000670,Dover,0.586
E14000671,Dudley North,0.615
E14000672,Dudley South,0.6759999999999999
E14000673,Dulwich and West Norwood,0.7020000000000001
E14000674,Ealing Central and Acton,0.754
E14000675,Ealing North,0.741
E14000676,"Ealing, Southall",0.8109999999999999
E14000677,Easington,0.607
E14000678,East Devon,0.723
E14000679,East Ham,0.778
E14000680,East Hampshire,0.79
E14000681,East Surrey,0.638
E14000682,East Worthing and Shoreham,0.745
E14000683,East Yorkshire,0.669
E14000684,Eastbourne,0.6729999999999999
E14000685,Eastleigh,0.7140000000000001
E14000686,Eddisbury,0.631
E14000687,Edmonton,0.643
E14000688,Ellesmere Port and Neston,0.6
E14000689,Elmet and Rothwell,0.778
E14000690,Eltham,0.722
E14000691,Enfield North,0.679
E14000692,"Enfield, Southgate",0.708
E14000693,Epping Forest,0.722
E14000694,Epsom and Ewell,0.84
E14000695,Erewash,0.634
E14000696,Erith and Thamesmead,0.612
E14000697,Esher and Walton,0.762
E14000698,Exeter,0.718
E14000699,Fareham,0.7
E14000700,Faversham and Mid Kent,0.642
E14000701,Feltham and Heston,0.7190000000000001
E14000702,Filton and Bradley Stoke,0.72
E14000703,Finchley and Golders Green,0.78
E14000704,Folkestone and Hythe,0.616
E14000705,Forest of Dean,0.615
E14000706,Fylde,0.6629999999999999
E14000707,Gainsborough,0.696
