constituency_code,constituency_name,value
E14000530,Aldershot,2.7
E14000531,Aldridge-Brownhills,0.0
E14000532,Altrincham and Sale West,0.0
E14000533,Amber Valley,0.0
E14000534,Arundel and South Downs,0.0
E14000535,Ashfield,3.5
E14000536,Ashford,0.0
E14000537,Ashton-under-Lyne,2.9
E14000538,Aylesbury,4.1
E14000539,Banbury,1.5
E14000540,Barking,0.0
E14000541,Barnsley Central,0.0
E14000542,Barnsley East,0.0
E14000543,Barrow and Furness,0.0
E14000544,Basildon and Billericay,0.0
E14000545,Basingstoke,5.9
E14000546,Bassetlaw,4.1
E14000547,Bath,5.3
E14000548,Batley and Spen,2.7
E14000549,Battersea,0.0
E14000550,Beaconsfield,2.2
E14000551,Beckenham,0.0
E14000552,Bedford,0.0
E14000553,Bermondsey and Old Southwark,2.1
E14000554,Berwick-upon-Tweed,0.0
E14000555,Bethnal Green and Bow,0.0
E14000556,Beverley and Holderness,2.8
E14000557,Bexhill and Battle,2.1
E14000558,Bexleyheath and Crayford,0.0
E14000559,Birkenhead,2.5
E14000560,"Birmingham, Edgbaston",0.0
E14000561,"Birmingham, Erdington",8.0
E14000562,"Birmingham, Hall Green",3.4
E14000563,"Birmingham, Hodge Hill",0.0
E14000564,"Birmingham, Ladywood",3.5
E14000565,"Birmingham, Northfield",2.6
E14000566,"Birmingham, Perry Barr",0.0
E14000567,"Birmingham, Selly Oak",0.0
E14000568,"Birmingham, Yardley",9.2
E14000569,Bishop Auckland,1.8
E14000570,Blackburn,2.9
E14000571,Blackley and Broughton,12.4
E14000572,Blackpool North and Cleveleys,0.0
E14000573,Blackpool South,0.0
E14000574,Blaydon,0.0
E14000575,Blyth Valley,6.4
E14000576,Bognor Regis and Littlehampton,0.0
E14000577,Bolsover,1.2
E14000578,Bolton North East,4.3
E14000579,Bolton South East,1.5
E14000580,Bolton West,2.1
E14000581,Bootle,0.0
E14000582,Boston and Skegness,0.0
E14000583,Bosworth,0.0
E14000584,Bournemouth East,0.0
E14000585,Bournemouth West,0.0
E14000586,Bracknell,0.0
E14000587,Bradford East,2.5
E14000588,Bradford South,3.3
E14000589,Bradford West,0.0
E14000590,Braintree,2.4
E14000591,Brent Central,0.0
E14000592,Brent North,0.0
E14000593,Brentford and Isleworth,0.0
E14000594,Brentwood and Ongar,0.0
E14000595,Bridgwater and West Somerset,3.1
E14000596,Brigg and Goole,0.0
E14000597,"Brighton, Kemptown",4.3
E14000598,"Brighton, Pavilion",0.0
E14000599,Bristol East,8.5
E14000600,Bristol North West,0.0
E14000601,Bristol South,0.0
E14000602,Bristol West,3.2
E14000603,Broadland,2.1
E14000604,Bromley and Chislehurst,0.0
E14000605,Bromsgrove,3.8
E14000606,Broxbourne,0.0
E14000607,Broxtowe,0.0
E14000608,Buckingham,2.8
E14000609,Burnley,0.0
E14000610,Burton,4.5
E14000611,Bury North,0.9
E14000612,Bury South,6.1
E14000613,Bury St Edmunds,2.9
E14000614,Calder Valley,3.1
E14000615,Camberwell and Peckham,0.0
E14000616,Camborne and Redruth,0.0
E14000617,Cambridge,6.2
E14000618,Cannock Chase,1.3
E14000619,Canterbury,0.0
E14000620,Carlisle,5.6
E14000621,Carshalton and Wallington,3.4
E14000622,Castle Point,0.0
E14000623,Central Devon,0.0
E14000624,Central Suffolk and North Ipswich,0.4
E14000625,Charnwood,0.0
E14000626,Chatham and Aylesford,0.0
E14000627,Cheadle,0.0
E14000628,Chelmsford,0.0
E14000629,Chelsea and Fulham,0.0
E14000630,Cheltenham,0.0
E14000631,Chesham and Amersham,0.0
E14000632,Chesterfield,2.9
E14000633,Chichester,0.7
E14000634,Chingford and Woodford Green,3.9
E14000635,Chippenham,0.0
E14000636,Chipping Barnet,0.0
E14000637,Chorley,1.9
E14000638,Christchurch,0.0
E14000639,Cities of London and Westminster,0.0
E14000640,City of Chester,0.0
E14000641,City of Durham,0.0
E14000642,Clacton,12.7
E14000643,Cleethorpes,0.0
E14000644,Colchester,0.0
E14000645,Colne Valley,0.9
E14000646,Congleton,4.0
E14000647,Copeland,4.4
E14000648,Corby,4.6
E14000649,Coventry North East,0.0
E14000650,Coventry North West,0.0
E14000651,Coventry South,3.5
E14000652,Crawley,0.0
E14000653,Crewe and Nantwich,4.1
E14000654,Croydon Central,3.5
E14000655,Croydon North,11.3
E14000656,Croydon South,0.0
E14000657,Dagenham and Rainham,0.0
E14000658,Darlington,0.0
E14000659,Dartford,3.9
E14000660,Daventry,0.0
E14000661,Denton and Reddish,8.6
E14000662,Derby North,7.0
E14000663,Derby South,0.9
E14000664,Derbyshire Dales,0.0
E14000665,Devizes,1.6
E14000666,Dewsbury,1.2
E14000667,Don Valley,0.0
E14000668,Doncaster Central,0.0
E14000669,Doncaster North,6.9
E14000670,Dover,1.9
E14000671,Dudley North,11.9
E14000672,Dudley South,6.0
E14000673,Dulwich and West Norwood,0.0
E14000674,Ealing Central and Acton,0.0
E14000675,Ealing North,0.0
E14000676,"Ealing, Southall",1.8
E14000677,Easington,0.0
E14000678,East Devon,0.0
E14000679,East Ham,0.0
E14000680,East Hampshire,2.6
E14000681,East Surrey,0.0
E14000682,East Worthing and Shoreham,0.0
E14000683,East Yorkshire,0.0
E14000684,Eastbourne,4.8
E14000685,Eastleigh,0.0
E14000686,Eddisbury,4.2
E14000687,Edmonton,4.2
E14000688,Ellesmere Port and Neston,0.0
E14000689,Elmet and Rothwell,1.4
E14000690,Eltham,0.0
E14000691,Enfield North,0.0
E14000692,"Enfield, Southgate",0.0
E14000693,Epping Forest,9.4
E14000694,Epsom and Ewell,0.0
E14000695,Erewash,0.0
E14000696,Erith and Thamesmead,3.0
E14000697,Esher and Walton,0.0
E14000698,Exeter,0.0
E14000699,Fareham,1.3
E14000700,Faversham and Mid Kent,0.0
E14000701,Feltham and Heston,0.0
E14000702,Filton and Bradley Stoke,0.0
E14000703,Finchley and Golders Green,0.0
E14000704,Folkestone and Hythe,0.0
E14000705,Forest of Dean,4.5
E14000706,Fylde,1.5
E14000707,Gainsborough,0.0
