constituency_code,constituency_name,value,percent
E14000530,Aldershot,26952,0.297874691924271
E14000531,Aldridge-Brownhills,16786,0.262922122674017
E14000532,Altrincham and Sale West,38655,0.486556906578053
E14000533,Amber Valley,18245,0.243243963896702
E14000534,Arundel and South Downs,31907,0.36619993113738
E14000535,Ashfield,17560,0.205517128377982
E14000536,Ashford,30565,0.298848214634909
E14000537,Ashton-under-Lyne,17704,0.23101414478835
E14000538,Aylesbury,35817,0.360491565682998
E14000539,Banbury,37787,0.343427641803524
E14000540,Barking,36269,0.33802121195176
E14000541,Barnsley Central,17401,0.234180281538502
E14000542,Barnsley East,15787,0.205833268142585
E14000543,Barrow and Furness,20442,0.28033845774078
E14000544,Basildon and Billericay,20108,0.261863832890555
E14000545,Basingstoke,32111,0.333832350892513
E14000546,Bassetlaw,22486,0.251464996645045
E14000547,Bath,36301,0.446842033998449
E14000548,Batley and Spen,22112,0.252590214870746
E14000549,Battersea,66088,0.654907245917234
E14000550,Beaconsfield,37326,0.437821099303258
E14000551,Beckenham,32884,0.438044491807646
E14000552,Bedford,28585,0.320952584125843
E14000553,Bermondsey and Old Southwark,67375,0.551923848844543
E14000554,Berwick-upon-Tweed,20358,0.31304107145603
E14000555,Bethnal Green and Bow,57049,0.485300372594722
E14000556,Beverley and Holderness,26436,0.311242450286683
E14000557,Bexhill and Battle,26706,0.300722924126748
E14000558,Bexleyheath and Crayford,23545,0.314524639655886
E14000559,Birkenhead,19327,0.266050878255602
E14000560,"Birmingham, Edgbaston",32064,0.396478385596992
E14000561,"Birmingham, Erdington",19882,0.243894061507133
E14000562,"Birmingham, Hall Green",30081,0.323027855930929
E14000563,"Birmingham, Hodge Hill",18827,0.197696152553763
E14000564,"Birmingham, Ladywood",36961,0.329057013639115
E14000565,"Birmingham, Northfield",22712,0.274787364040022
E14000566,"Birmingham, Perry Barr",22247,0.256065837937384
E14000567,"Birmingham, Selly Oak",29504,0.328179573313163
E14000568,"Birmingham, Yardley",20986,0.237995871986209
E14000569,Bishop Auckland,19250,0.258271392921351
E14000570,Blackburn,22058,0.254711316397228
E14000571,Blackley and Broughton,26851,0.286032341223341
E14000572,Blackpool North and Cleveleys,16651,0.239848465206055
E14000573,Blackpool South,14507,0.218538157934379
E14000574,Blaydon,21289,0.290829360254641
E14000575,Blyth Valley,17404,0.24739512999474
E14000576,Bognor Regis and Littlehampton,22358,0.242494577006507
E14000577,Bolsover,18345,0.222011109631978
E14000578,Bolton North East,21517,0.270334447320149
E14000579,Bolton South East,19129,0.225844155844155
E14000580,Bolton West,25704,0.319197287866181
E14000581,Bootle,19765,0.239668719988359
E14000582,Boston and Skegness,16550,0.182568311436167
E14000583,Bosworth,25780,0.29197245628341
E14000584,Bournemouth East,30871,0.349816995093428
E14000585,Bournemouth West,27933,0.304466777118939
E14000586,Bracknell,32639,0.357730794945144
E14000587,Bradford East,19652,0.218761479634432
E14000588,Bradford South,18460,0.226756255450871
E14000589,Bradford West,22918,0.252941306315255
E14000590,Braintree,21404,0.253613915351438
E14000591,Brent Central,45496,0.379127014549757
E14000592,Brent North,45000,0.381501420033063
E14000593,Brentford and Isleworth,57427,0.497932039087496
E14000594,Brentwood and Ongar,26626,0.331494876806812
E14000595,Bridgwater and West Somerset,25152,0.259421993935268
E14000596,Brigg and Goole,17999,0.24649411120241
E14000597,"Brighton, Kemptown",27599,0.346207882786823
E14000598,"Brighton, Pavilion",42799,0.475137937542324
E14000599,Bristol East,29992,0.351256075423083
E14000600,Bristol North West,35400,0.400543109300746
E14000601,Bristol South,33631,0.354036613224132
E14000602,Bristol West,65083,0.538085041297032
E14000603,Broadland,23020,0.274099828538769
E14000604,Bromley and Chislehurst,33101,0.433775832470612
E14000605,Bromsgrove,29698,0.366185373793171
E14000606,Broxbourne,23470,0.278906714200831
E14000607,Broxtowe,29168,0.362533558715322
E14000608,Buckingham,37102,0.41131669678392
E14000609,Burnley,18299,0.243341001875024
E14000610,Burton,24999,0.274907627342306
E14000611,Bury North,23100,0.3130081300813
E14000612,Bury South,26936,0.332243780296769
E14000613,Bury St Edmunds,30515,0.311215591885855
E14000614,Calder Valley,29749,0.352701965712659
E14000615,Camberwell and Peckham,54129,0.516374910565227
E14000616,Camborne and Redruth,22343,0.284099434166189
E14000617,Cambridge,63412,0.554068223123165
E14000618,Cannock Chase,18748,0.227309100608647
E14000619,Canterbury,34632,0.360314619834366
E14000620,Carlisle,19561,0.268337517318956
E14000621,Carshalton and Wallington,30734,0.373697457534379
E14000622,Castle Point,13747,0.184741708326614
E14000623,Central Devon,28012,0.35151652047334
E14000624,Central Suffolk and North Ipswich,25652,0.300427475551911
E14000625,Charnwood,28373,0.330333441996926
E14000626,Chatham and Aylesford,19491,0.24198294163656
E14000627,Cheadle,34080,0.440731448671856
E14000628,Chelmsford,32748,0.35801902263037
E14000629,Chelsea and Fulham,53060,0.615117087873869
E14000630,Cheltenham,38716,0.436827259392982
E14000631,Chesham and Amersham,36662,0.47324125467923
E14000632,Chesterfield,21267,0.274373959825057
E14000633,Chichester,35951,0.37211348369267
E14000634,Chingford and Woodford Green,30687,0.397855596323138
E14000635,Chippenham,29381,0.351149143669849
E14000636,Chipping Barnet,46016,0.486735773217685
E14000637,Chorley,28760,0.336256284344674
E14000638,Christchurch,22279,0.295262076734477
E14000639,Cities of London and Westminster,55957,0.619144039478634
E14000640,City of Chester,34243,0.407111945976792
E14000641,City of Durham,28306,0.332964757916529
E14000642,Clacton,13539,0.174965430790504
E14000643,Cleethorpes,18944,0.242427344739771
E14000644,Colchester,32436,0.327404865246795
E14000645,Colne Valley,32522,0.355672696253198
E14000646,Congleton,31402,0.364579947058004
E14000647,Copeland,17971,0.279617239769721
E14000648,Corby,28002,0.270219151379466
E14000649,Coventry North East,26739,0.279369358074222
E14000650,Coventry North West,25625,0.296400397899461
E14000651,Coventry South,32327,0.341318945856913
E14000652,Crawley,25773,0.275449677771009
E14000653,Crewe and Nantwich,27948,0.298634411129869
E14000654,Croydon Central,39689,0.398900458309881
E14000655,Croydon North,45910,0.397706108093592
E14000656,Croydon South,41745,0.437276098296775
E14000657,Dagenham and Rainham,26588,0.300799855188876
E14000658,Darlington,20571,0.273350607933027
E14000659,Dartford,30901,0.322749443823569
E14000660,Daventry,29689,0.336259230734381
E14000661,Denton and Reddish,17888,0.250370909498082
E14000662,Derby North,27550,0.326224674663414
E14000663,Derby South,23361,0.254288762136979
E14000664,Derbyshire Dales,27347,0.397364176632132
E14000665,Devizes,27768,0.330539948576326
E14000666,Dewsbury,25232,0.280280814005154
E14000667,Don Valley,19908,0.237630853336834
E14000668,Doncaster Central,20632,0.236053269873232
E14000669,Doncaster North,16392,0.205555207223023
E14000670,Dover,21663,0.258197160939678
E14000671,Dudley North,15997,0.232714100755007
E14000672,Dudley South,15272,0.230045038938346
E14000673,Dulwich and West Norwood,52955,0.573658610566454
E14000674,Ealing Central and Acton,60505,0.566287612897187
E14000675,Ealing North,40033,0.389240537098075
E14000676,"Ealing, Southall",30443,0.355318751604846
E14000677,Easington,14096,0.211065358987796
E14000678,East Devon,33685,0.360317477296308
E14000679,East Ham,47769,0.373192396934398
E14000680,East Hampshire,33328,0.392338752398554
E14000681,East Surrey,33861,0.366104443723645
E14000682,East Worthing and Shoreham,24349,0.297785170056379
E14000683,East Yorkshire,24928,0.282342281119039
E14000684,Eastbourne,27001,0.296144776528653
E14000685,Eastleigh,29396,0.315661744966442
E14000686,Eddisbury,29193,0.360866286759706
E14000687,Edmonton,26967,0.298998791453692
E14000688,Ellesmere Port and Neston,22763,0.300339090393318
E14000689,Elmet and Rothwell,29581,0.344305418145841
E14000690,Eltham,30834,0.399316212751078
E14000691,Enfield North,28666,0.343136902838127
E14000692,"Enfield, Southgate",37739,0.452229452013756
E14000693,Epping Forest,28538,0.343235831809872
