LADCD,avg_att8,avg_att8,avg_att8,avg_p8score,avg_p8score,avg_p8score
,Boys,Girls,Total,Boys,Girls,Total
---,---,---,---,---,---,---
E09000003,55.9,58.5,57.1,0.57,0.72,0.64
E09000004,48.4,51.0,49.7,-0.17,0.05,-0.06
E09000005,48.5,52.8,50.5,0.48,0.76,0.61
E09000006,48.7,53.6,51.2,-0.13,0.21,0.04
E09000007,43.9,51.4,48.0,-0.29,0.2,-0.03
E09000008,42.9,48.7,45.7,-0.15,0.19,0.01
E09000009,49.9,54.2,52.0,0.49,0.76,0.62
E09000010,44.2,49.9,47.0,0.03,0.4,0.21
E09000011,44.8,49.3,47.0,-0.15,0.14,-0.01
E09000012,48.5,53.8,51.4,0.14,0.52,0.34
E09000013,53.3,56.2,54.8,0.43,0.51,0.47
E09000014,45.8,50.7,48.2,0.04,0.38,0.21
E09000015,48.2,54.9,51.6,0.19,0.69,0.45
E09000016,45.4,49.6,47.4,-0.23,0.06,-0.09
E09000017,47.6,50.3,48.9,0.18,0.31,0.24
E09000018,48.7,51.2,49.9,0.36,0.54,0.45
E09000019,45.6,48.0,46.7,-0.06,0.0,-0.03
E09000020,52.8,54.4,53.5,0.27,0.34,0.3
E09000021,56.5,60.5,58.6,0.43,0.73,0.58
E09000022,42.4,47.2,44.8,-0.12,0.14,0.01
E09000023,42.7,48.0,45.4,-0.09,0.09,0.0
E09000024,50.9,53.7,52.2,0.53,0.66,0.59
E09000025,48.4,53.8,51.1,0.07,0.43,0.25
E09000026,52.8,56.6,54.6,0.4,0.62,0.5
E09000027,53.3,58.7,55.9,0.29,0.53,0.4
E09000028,50.3,53.5,51.9,0.29,0.46,0.38
E09000029,58.8,61.1,59.9,0.42,0.61,0.51
E09000030,45.9,51.3,48.6,0.05,0.36,0.21
E09000031,42.7,48.9,45.7,-0.29,0.17,-0.06
E09000032,48.3,52.7,50.4,0.23,0.44,0.33
E09000033,50.5,57.7,54.3,0.27,0.67,0.48
E10000003,46.8,50.7,48.7,0.08,0.35,0.21
E10000007,43.0,46.8,44.9,-0.28,-0.03,-0.16
E10000008,43.7,47.8,45.7,-0.22,0.05,-0.09
E10000011,41.9,45.6,43.6,-0.31,-0.06,-0.19
E10000012,43.3,47.3,45.3,-0.31,-0.05,-0.18
E10000013,47.3,53.0,50.0,0.03,0.34,0.18
E10000014,43.8,48.0,45.9,-0.33,-0.04,-0.18
E10000015,48.8,53.4,51.0,0.05,0.35,0.19
E10000016,45.1,49.0,47.0,-0.24,-0.01,-0.12
E10000017,42.7,47.4,45.0,-0.32,-0.01,-0.17
E10000018,44.0,47.8,45.8,-0.2,0.03,-0.09
E10000019,44.1,48.8,46.5,-0.12,0.16,0.02
E10000020,42.4,47.2,44.7,-0.16,0.16,-0.01
E10000024,43.9,48.6,46.2,-0.17,0.15,-0.01
E10000025,44.0,49.5,46.7,-0.12,0.22,0.05
E10000028,41.9,47.1,44.5,-0.31,0.03,-0.14
E10000029,41.4,45.6,43.5,-0.22,0.01,-0.1
E10000030,49.1,52.5,50.8,0.06,0.3,0.17
E10000031,46.3,50.8,48.5,-0.1,0.2,0.05
E10000032,44.4,48.6,46.4,-0.09,0.2,0.05
E10000034,42.5,47.3,44.8,-0.21,0.13,-0.04
