constituency_code,constituency_name,value,percent
E14000530,Aldershot,5148,0.0568959229009405
E14000531,Aldridge-Brownhills,3906,0.0611803771693502
E14000532,Altrincham and Sale West,3460,0.043551594793948
E14000533,Amber Valley,5274,0.0703134374125081
E14000534,Arundel and South Downs,4434,0.0508894754963847
E14000535,Ashfield,5883,0.0688529194901864
E14000536,Ashford,5698,0.0557119949939379
E14000537,Ashton-under-Lyne,5389,0.0703194321206743
E14000538,Aylesbury,5206,0.0523974395104472
E14000539,Banbury,6003,0.0545583437093857
E14000540,Barking,3981,0.0371022759044903
E14000541,Barnsley Central,4783,0.0643689607837859
E14000542,Barnsley East,5343,0.0696628334506766
E14000543,Barrow and Furness,7507,0.102949848461992
E14000544,Basildon and Billericay,4026,0.0524300671979996
E14000545,Basingstoke,4776,0.0496522471384461
E14000546,Bassetlaw,6033,0.0674681279355848
E14000547,Bath,2748,0.0338261179975135
E14000548,Batley and Spen,5439,0.0621308872414068
E14000549,Battersea,1780,0.0176391311241477
E14000550,Beaconsfield,4012,0.0470593755131724
E14000551,Beckenham,3005,0.0400293059810843
E14000552,Bedford,4944,0.055511267305166
E14000553,Bermondsey and Old Southwark,3101,0.0254028327312345
E14000554,Berwick-upon-Tweed,4824,0.0741777251549213
E14000555,Bethnal Green and Bow,2465,0.020969086547459
E14000556,Beverley and Holderness,6255,0.0736428176177637
E14000557,Bexhill and Battle,5383,0.0606152737427651
E14000558,Bexleyheath and Crayford,4014,0.0536208071173806
E14000559,Birkenhead,4466,0.0614778921865536
E14000560,"Birmingham, Edgbaston",2684,0.0331882480957562
E14000561,"Birmingham, Erdington",3867,0.0474367938762742
E14000562,"Birmingham, Hall Green",2380,0.0255578703206546
E14000563,"Birmingham, Hodge Hill",2864,0.0300739247311827
E14000564,"Birmingham, Ladywood",2937,0.0261475730921263
E14000565,"Birmingham, Northfield",3979,0.0481410233143382
E14000566,"Birmingham, Perry Barr",3468,0.0399171270718232
E14000567,"Birmingham, Selly Oak",3005,0.0334252853106716
E14000568,"Birmingham, Yardley",3620,0.0410533239583569
E14000569,Bishop Auckland,5107,0.0685190651246411
E14000570,Blackburn,4331,0.0500115473441108
E14000571,Blackley and Broughton,4177,0.0444958135372946
E14000572,Blackpool North and Cleveleys,4846,0.0698039554614464
E14000573,Blackpool South,4461,0.0672019523364767
E14000574,Blaydon,5527,0.0755044329995491
E14000575,Blyth Valley,5376,0.0764189967163712
E14000576,Bognor Regis and Littlehampton,6217,0.0674295010845986
E14000577,Bolsover,5590,0.0676501555106437
E14000578,Bolton North East,4891,0.0614493554790562
E14000579,Bolton South East,4950,0.0584415584415584
E14000580,Bolton West,5369,0.0666732897040744
E14000581,Bootle,4636,0.0562157442886937
E14000582,Boston and Skegness,6506,0.0717697543325501
E14000583,Bosworth,5812,0.0658240463894174
E14000584,Bournemouth East,4891,0.0554227243368196
E14000585,Bournemouth West,5164,0.0562870596442274
E14000586,Bracknell,4718,0.0517103431646554
E14000587,Bradford East,4381,0.0487682700121336
E14000588,Bradford South,5034,0.0618359149479787
E14000589,Bradford West,3580,0.0395117321148709
E14000590,Braintree,5080,0.0601924261813356
E14000591,Brent Central,4578,0.0381493641772637
E14000592,Brent North,3895,0.0330210673561951
E14000593,Brentford and Isleworth,3627,0.0314486131222307
E14000594,Brentwood and Ongar,4039,0.0502857285143362
E14000595,Bridgwater and West Somerset,6603,0.0681044619097716
E14000596,Brigg and Goole,5317,0.0728156669405642
E14000597,"Brighton, Kemptown",3664,0.0459620161067763
E14000598,"Brighton, Pavilion",2432,0.0269991229725679
E14000599,Bristol East,4566,0.0534754347953387
E14000600,Bristol North West,3711,0.041989137813985
E14000601,Bristol South,4887,0.0514458960133904
E14000602,Bristol West,2118,0.0175109339991566
E14000603,Broadland,5862,0.0697990093351114
E14000604,Bromley and Chislehurst,2890,0.0378723348491003
E14000605,Bromsgrove,4338,0.0534888595701655
E14000606,Broxbourne,4730,0.0562091503267973
E14000607,Broxtowe,4598,0.057149249279109
E14000608,Buckingham,4459,0.0494329456891677
E14000609,Burnley,4920,0.0654264019468344
E14000610,Burton,5526,0.0607680126682501
E14000611,Bury North,4234,0.0573712737127371
E14000612,Bury South,4371,0.0539143734658887
E14000613,Bury St Edmunds,5944,0.060621513294102
E14000614,Calder Valley,5301,0.0628482678490977
E14000615,Camberwell and Peckham,2854,0.0272263295969472
E14000616,Camborne and Redruth,5462,0.069451331934643
E14000617,Cambridge,3038,0.0265448063749475
E14000618,Cannock Chase,4989,0.0604888576347632
E14000619,Canterbury,4117,0.0428336593283116
E14000620,Carlisle,5192,0.0712237814999245
E14000621,Carshalton and Wallington,3587,0.0436146541346983
E14000622,Castle Point,5036,0.0676772563565016
E14000623,Central Devon,4677,0.0586906599405187
E14000624,Central Suffolk and North Ipswich,5419,0.0634654798852257
E14000625,Charnwood,5689,0.0662343408000745
E14000626,Chatham and Aylesford,5029,0.0624355966081914
E14000627,Cheadle,3808,0.0492460491943201
E14000628,Chelmsford,4541,0.0496446922488247
E14000629,Chelsea and Fulham,1623,0.0188152098307442
E14000630,Cheltenham,3806,0.0429425702358118
E14000631,Chesham and Amersham,3248,0.0419259068026332
E14000632,Chesterfield,4884,0.063010411425475
E14000633,Chichester,4964,0.0513802490348089
E14000634,Chingford and Woodford Green,3231,0.0418897719464288
E14000635,Chippenham,4449,0.0531725448482747
E14000636,Chipping Barnet,3197,0.0338163740215781
E14000637,Chorley,5714,0.066806968315211
E14000638,Christchurch,5562,0.0737128089589821
E14000639,Cities of London and Westminster,1873,0.0207240700170395
E14000640,City of Chester,3988,0.0474129731786189
E14000641,City of Durham,3960,0.0465816590598974
E14000642,Clacton,5351,0.0691513420607125
E14000643,Cleethorpes,5550,0.07102363615423
E14000644,Colchester,4717,0.0476127990309881
E14000645,Colne Valley,6188,0.0676742710907937
E14000646,Congleton,5286,0.0613709190544745
E14000647,Copeland,5044,0.0784814065660494
E14000648,Corby,6311,0.0609011165043859
E14000649,Coventry North East,4975,0.0519788532263457
E14000650,Coventry North West,5197,0.0601128924052097
E14000651,Coventry South,4112,0.0434158290396148
E14000652,Crawley,4895,0.0523154530977802
E14000653,Crewe and Nantwich,6812,0.0727886649712563
E14000654,Croydon Central,3878,0.0389764412639704
E14000655,Croydon North,4307,0.0373103944142692
E14000656,Croydon South,3601,0.0377202354765047
E14000657,Dagenham and Rainham,4103,0.0464187530404679
E14000658,Darlington,5395,0.0716895887316457
E14000659,Dartford,5374,0.056129429827768
E14000660,Daventry,5273,0.0597222851447469
E14000661,Denton and Reddish,5152,0.072110405061165
E14000662,Derby North,5202,0.06159784964062
E14000663,Derby South,5345,0.0581813036095267
E14000664,Derbyshire Dales,3592,0.0521933712093692
E14000665,Devizes,5127,0.0610299019141034
E14000666,Dewsbury,5406,0.0600506531591575
E14000667,Don Valley,5638,0.0672977070078899
E14000668,Doncaster Central,5779,0.0661182554574161
E14000669,Doncaster North,5348,0.0670637657533387
E14000670,Dover,5010,0.0597132334537133
E14000671,Dudley North,4152,0.0604006342648492
E14000672,Dudley South,4120,0.06206034313947
E14000673,Dulwich and West Norwood,2332,0.0252624280963265
E14000674,Ealing Central and Acton,2884,0.0269923721278487
E14000675,Ealing North,4441,0.0431798072902993
E14000676,"Ealing, Southall",2687,0.0313616097481267
E14000677,Easington,4154,0.0621995957176012
E14000678,East Devon,5594,0.0598371966155722
E14000679,East Ham,3932,0.0307185100116405
E14000680,East Hampshire,3907,0.0459933841100921
E14000681,East Surrey,4225,0.0456806141204454
E14000682,East Worthing and Shoreham,4887,0.0597673878214927
