new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,27.1
E06000002,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,23.9
E06000003,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,27.3
E06000004,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,26.0
E06000005,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,29.1
E06000006,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,24.2
E06000007,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,30.5
E06000008,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,25.1
E06000009,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,18.8
E06000010,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,25.3
E06000011,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,28.3
E06000012,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,22.3
E06000013,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,26.4
E06000014,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,30.5
E06000015,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,22.9
E06000016,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,23.2
E06000017,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,34.5
E06000018,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,24.2
E06000019,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,30.3
E06000020,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,26.5
E06000021,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,21.2
E06000022,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,29.2
E06000023,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,28.3
E06000024,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,29.8
E06000025,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,26.9
E06000026,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,27.0
E06000027,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,25.0
E06000030,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,27.0
E06000031,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,22.0
E06000032,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,26.2
E06000033,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,25.2
E06000034,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,25.4
E06000035,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,29.0
E06000036,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,28.6
E06000037,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,35.2
E06000038,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,28.2
E06000039,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,27.4
E06000040,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,31.3
E06000041,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,35.2
E06000042,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,24.3
E06000043,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_att8,29.3
