ITL1 Code,ITL1 Name,Status
TLC,North East (England),0
TLD,North West (England),2
TLE,Yorkshire and The Humber,1
TLF,East Midlands (England),2
TLG,West Midlands (England),0
TLH,East,0
TLI,London,2
TLJ,South East (England),1
TLK,South West (England),0
