ITL level,ITL code,Region name,Count
ITL1,TLC,North East,9
ITL1,TLD,North West,23
ITL1,TLE,Yorkshire and The Humber,10
ITL1,TLF,East Midlands,11
ITL1,TLG,West Midlands,11
ITL1,TLH,East of England,3
ITL1,TLI,London,16
ITL1,TLJ,South East,6
ITL1,TLK,South West,2
