quarter,total,employed,unemployed,economically_inactive
Apr-Jun 1992,5255606.66000047,3742199.5847792197,777216.9005041174,736190.1747171319
Jul-Sep 1992,5053183.946703611,3626733.5079151737,759866.481628504,666583.9571599335
Oct-Dec 1992,5100832.020117374,3611380.6800922863,800568.5285624438,688882.8114626444
Jan-Mar 1993,5053695.67981267,3547428.6538636256,824127.4392740502,682139.5866749941
Apr-Jun 1993,5003553.152166195,3500285.541002295,803079.1494601581,700188.4617037417
Jul-Sep 1993,4831194.028734303,3390692.9617613135,757555.3789824907,682945.6879904986
Oct-Dec 1993,4779746.082557609,3336678.136613451,762273.1944964097,680794.7514477479
Jan-Mar 1994,4712638.510872943,3325759.1353853857,713804.7712688637,673074.6042186941
Apr-Jun 1994,4593453.653582367,3255883.1987844985,688804.9037820068,648765.5510158614
Jul-Sep 1994,4605069.169896802,3248066.1794149186,678338.2475884634,678664.7428934202
Oct-Dec 1994,4503200.895772444,3210560.7628428675,628788.9129333709,663851.2199962055
Jan-Mar 1995,4443655.409002685,3178235.1880728155,616980.4152498539,648439.8056800156
Apr-Jun 1995,4356903.276046856,3131148.1009702273,600914.3408442693,624840.8342323594
Jul-Sep 1995,4417881.510286563,3184325.400400021,609916.7260667217,623639.3838198207
Oct-Dec 1995,4347456.0938401865,3128436.0229795845,572629.4540593063,646390.6168012952
Jan-Mar 1996,4279903.363357595,3069149.3377080155,580691.420561829,630062.6050877504
Apr-Jun 1996,4250686.856508589,3060473.8903093217,570039.4951844739,620173.471014794
Jul-Sep 1996,4260339.221732457,3066967.390015385,569416.8956419451,623954.936075127
Oct-Dec 1996,4201271.968534891,3029425.2254943354,550154.1314762549,621692.6115643003
Jan-Mar 1997,4165544.523219998,3033961.7947372384,517926.1276418041,613656.6008409556
Apr-Jun 1997,4127109.6008018735,3058548.874636952,494144.3024369909,574416.4237279311
Jul-Sep 1997,4042250.032245811,3006886.3195258067,481944.4349473028,553419.2777727011
Oct-Dec 1997,4053177.2109701615,3057094.0938534182,459690.09119366563,536393.0259230772
Jan-Mar 1998,4032819.6993318843,3022082.500484572,459484.68480381917,551252.514043493
Apr-Jun 1998,4004809.670655498,2995768.342974834,449807.69047039136,559233.6372102723
Jul-Sep 1998,3928019.7359174136,2979395.54775419,441865.576363491,506758.61179973267
Oct-Dec 1998,3929636.186271841,2949580.03900576,465383.3709668467,514672.7762992344
Jan-Mar 1999,3945180.418965386,2990786.758868818,438065.0964789955,516328.5636175728
Apr-Jun 1999,3934592.1090860283,2965096.8121839887,430547.7914167526,538947.5054852869
Jul-Sep 1999,3953579.9336091587,2993341.822443192,413755.4299055292,546482.6812604375
Oct-Dec 1999,4009444.2843923206,3032876.636700996,410559.2260780108,566008.4216133136
Jan-Mar 2000,3984056.049146057,3006486.1633618637,412501.8732018423,565068.0125823508
Apr-Jun 2000,3934870.4491494326,2965297.9815032315,405919.6206332007,563652.8470130002
Jul-Sep 2000,3956362.1509104734,2988970.909136958,400613.88047681586,566777.3612966996
Oct-Dec 2000,3945983.205474877,2976602.930495601,394718.20860953425,574662.0663697412
Jan-Mar 2001,3971098.438989456,2988505.2938507283,401730.6749845189,580862.4701542086
Apr-Jun 2001,3999812.9030872853,3043664.2427989244,392857.2232468941,563291.4370414673
Jul-Sep 2001,3991272.0872674165,3030312.0729811788,391530.6486727495,569429.3656134887
Oct-Dec 2001,4066357.0671378216,3076980.522871375,434150.3964291991,555226.1478372475
Jan-Mar 2002,4094610.5466474597,3077462.2428140882,433173.98354877386,583974.3202845975
Apr-Jun 2002,4112310.122245932,3092588.594005121,415866.83456413215,603854.693676679
Jul-Sep 2002,4117385.0087993974,3086560.8108322285,412501.1981562703,618322.9998108984
Oct-Dec 2002,4103860.787913949,3080103.659451699,411267.68917430006,612489.4392879503
Jan-Mar 2003,4138629.3007198824,3059525.8309134515,446921.67621179885,632181.7935946316
Apr-Jun 2003,4151206.424790372,3080507.015351166,422820.6669344991,647878.7425047071
Jul-Sep 2003,4200910.668097075,3131404.9693683907,420125.26333850715,649380.4353901776
Oct-Dec 2003,4214545.120674223,3160561.451798778,405562.03369756625,648421.6351778787
Jan-Mar 2004,4213035.350925441,3188983.1264828537,405112.0365130337,618940.1879295532
Apr-Jun 2004,4232242.203154595,3169063.25397118,409808.3943263277,653370.5548570871
Jul-Sep 2004,4284403.093433986,3173997.704484678,442013.2975210834,668392.0914282252
Oct-Dec 2004,4286281.0066605,3168805.643071284,442693.7144317732,674781.6491574424
Jan-Mar 2005,4292463.867753878,3185342.019438222,429004.07026464643,678117.7780510099
Apr-Jun 2005,4313047.697862379,3164779.434686561,447924.56512205093,700343.6980537673
Jul-Sep 2005,4303424.354847347,3153031.256023045,456609.1726151928,693783.9262091098
Oct-Dec 2005,4320897.7065416295,3113329.510769867,487962.13397722715,719606.0617945355
Jan-Mar 2006,4341884.973122663,3151862.369236229,466017.8802499195,724004.7236365145
Apr-Jun 2006,4349270.319898161,3131686.1676989915,506271.5801768317,711312.5720223382
Jul-Sep 2006,4380643.957239301,3165838.571629055,516507.19709115656,698298.1885190897
Oct-Dec 2006,4389820.3327953825,3169388.893049284,482911.5438212307,737519.8959248678
Jan-Mar 2007,4428752.963689053,3196411.3423633957,514618.8705172183,717722.7508084395
Apr-Jun 2007,4393061.746563774,3163295.550890909,513581.9407107588,716184.2549621053
Jul-Sep 2007,4382993.321747918,3181192.8377776705,480810.62457412155,720989.8593961257
Oct-Dec 2007,4403297.4220263865,3223470.439527505,479898.2741904936,699928.708308388
Jan-Mar 2008,4380974.082957784,3189590.877129766,479325.531030201,712057.6747978162
Apr-Jun 2008,4383176.012551584,3165272.4359294907,502413.30801725807,715490.2686048354
Jul-Sep 2008,4406647.87936965,3161484.8298372487,538595.3510271804,706567.6985052212
Oct-Dec 2008,4327048.567259612,3081479.9122907906,582594.6211411267,662974.0338276944
Jan-Mar 2009,4335415.297695504,3002470.13265837,642072.1411502328,690873.0238869012
