quarter_start,age_16_to_24_unemployed_sa,age_16_to_24_unemployed_over_12_months_sa,age_16_to_24_unemployed_6_to_12_months_sa,age_16_to_24_unemployed_over_12_months_rate_sa,age_16_to_24_unemployed_6_to_12_months_rate_sa
1992-04-01,857680.0,222569.0,180578.0,26.0,21.1
1992-07-01,870171.0,238420.0,188581.0,27.4,21.7
1992-10-01,893140.0,245857.0,186450.0,27.5,20.9
1993-01-01,924425.0,277896.0,185618.0,30.1,20.1
1993-04-01,902967.0,284107.0,183714.0,31.5,20.3
1993-07-01,874716.0,285349.0,173631.0,32.6,19.8
1993-10-01,878614.0,276741.0,168378.0,31.5,19.2
1994-01-01,825814.0,252490.0,161589.0,30.6,19.6
1994-04-01,811896.0,247554.0,145700.0,30.5,17.9
1994-07-01,804309.0,237362.0,140940.0,29.5,17.5
1994-10-01,754814.0,219310.0,133043.0,29.1,17.6
1995-01-01,753665.0,204417.0,129154.0,27.1,17.1
1995-04-01,739371.0,184119.0,137650.0,24.9,18.6
1995-07-01,730102.0,185179.0,119504.0,25.4,16.4
1995-10-01,705356.0,160047.0,129459.0,22.7,18.4
1996-01-01,709382.0,161989.0,128420.0,22.8,18.1
1996-04-01,714219.0,163959.0,123295.0,23.0,17.3
1996-07-01,707864.0,156689.0,110768.0,22.1,15.6
1996-10-01,707057.0,160880.0,106743.0,22.8,15.1
1997-01-01,667926.0,154091.0,104515.0,23.1,15.6
1997-04-01,664292.0,126757.0,94770.0,19.1,14.3
1997-07-01,636433.0,135909.0,95995.0,21.4,15.1
1997-10-01,606621.0,117046.0,99068.0,19.3,16.3
1998-01-01,602143.0,101423.0,85950.0,16.8,14.3
1998-04-01,609135.0,93363.0,82906.0,15.3,13.6
1998-07-01,611814.0,86053.0,97260.0,14.1,15.9
1998-10-01,614796.0,73318.0,91760.0,11.9,14.9
1999-01-01,604838.0,76029.0,92258.0,12.6,15.3
1999-04-01,590986.0,70849.0,94516.0,12.0,16.0
1999-07-01,564824.0,71964.0,83996.0,12.7,14.9
1999-10-01,561115.0,76109.0,78742.0,13.6,14.0
2000-01-01,581293.0,64935.0,83383.0,11.2,14.3
2000-04-01,551880.0,74142.0,81539.0,13.4,14.8
2000-07-01,545321.0,73453.0,76583.0,13.5,14.0
2000-10-01,548420.0,60181.0,81223.0,11.0,14.8
2001-01-01,536113.0,65000.0,71932.0,12.1,13.4
2001-04-01,527099.0,64110.0,64123.0,12.2,12.2
2001-07-01,541070.0,67108.0,69124.0,12.4,12.8
2001-10-01,567846.0,64271.0,72902.0,11.3,12.8
2002-01-01,561602.0,56667.0,78442.0,10.1,14.0
2002-04-01,548837.0,53497.0,78771.0,9.7,14.4
2002-07-01,561229.0,61418.0,73388.0,10.9,13.1
2002-10-01,569954.0,56108.0,74407.0,9.8,13.1
2003-01-01,592999.0,63302.0,77094.0,10.7,13.0
2003-04-01,574518.0,65374.0,67819.0,11.4,11.8
2003-07-01,578103.0,66971.0,71397.0,11.6,12.4
2003-10-01,551004.0,63259.0,80964.0,11.5,14.7
2004-01-01,571690.0,67501.0,88564.0,11.8,15.5
2004-04-01,572470.0,60309.0,91726.0,10.5,16.0
2004-07-01,587500.0,65893.0,84563.0,11.2,14.4
2004-10-01,594400.0,62298.0,92624.0,10.5,15.6
2005-01-01,583700.0,68293.0,77283.0,11.7,13.2
2005-04-01,606626.0,78410.0,81112.0,12.9,13.4
