ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000590,77.2,78.8,100.0,100.0,100.0,100.0,100.0,,,,,,
E14000591,45.0,56.3,100.0,100.0,67.4,48.6,,,,,32.6,55.0,58.0
E14000592,37.6,58.5,63.0,62.4,49.8,51.9,,,,,,,
E14000593,89.6,,70.0,66.2,69.3,56.8,64.4,79.7,85.2,,73.2,75.3,56.1
E14000594,86.1,79.1,84.5,81.2,85.2,100.0,100.0,100.0,,,,,
E14000595,100.0,100.0,100.0,77.5,76.0,76.2,77.5,87.2,89.8,100.0,100.0,100.0,100.0
E14000596,60.3,63.9,82.9,84.3,87.1,80.4,77.2,77.0,87.9,100.0,73.1,74.1,79.3
E14000597,39.7,,48.9,44.1,45.0,46.8,52.3,42.6,44.8,,,,
E14000598,52.2,52.7,48.6,69.2,79.4,72.4,70.9,75.1,61.6,70.3,79.2,68.8,62.9
E14000599,73.6,69.7,71.1,79.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
E14000600,51.9,77.1,91.8,94.2,93.9,79.8,76.8,80.3,78.9,100.0,83.0,88.5,84.8
E14000601,78.3,82.4,88.5,91.2,90.8,83.4,85.8,74.9,70.1,83.1,87.2,100.0,100.0
E14000602,58.0,69.3,77.7,88.4,87.7,81.9,81.8,74.9,40.0,,36.0,34.2,77.9
E14000603,100.0,88.9,90.8,89.0,89.2,100.0,100.0,100.0,,,,,
E14000604,83.5,100.0,100.0,100.0,100.0,100.0,84.6,90.7,93.8,91.2,84.6,,77.0
E14000605,93.4,88.2,84.9,77.3,80.7,83.6,86.2,,,68.9,90.0,100.0,100.0
E14000606,100.0,68.9,,,,,44.6,,,,,,
E14000607,80.4,83.8,66.1,51.0,42.2,31.8,29.7,24.1,,75.4,78.4,100.0,100.0
E14000608,69.2,71.7,63.2,70.9,73.0,71.9,78.6,83.3,77.6,78.8,86.1,87.2,100.0
E14000609,80.6,81.5,71.1,,,,,100.0,,,,,
E14000610,100.0,100.0,84.3,84.3,74.3,,100.0,100.0,100.0,100.0,,,
E14000611,76.7,85.1,86.3,86.2,82.9,84.1,100.0,100.0,100.0,100.0,100.0,83.5,83.4
E14000612,70.3,78.0,66.7,70.6,78.7,92.6,100.0,100.0,100.0,100.0,46.2,44.5,46.8
E14000613,92.8,91.2,89.0,77.2,70.5,60.8,63.5,58.6,56.6,53.1,36.5,,
E14000614,75.6,72.6,71.3,64.4,51.2,53.2,45.6,48.2,79.6,100.0,89.1,92.4,89.6
E14000615,85.2,88.3,87.6,78.9,73.6,56.0,57.8,,,,,,
E14000616,100.0,100.0,100.0,100.0,100.0,100.0,70.0,82.8,88.6,88.2,84.0,65.5,48.8
E14000617,68.9,70.8,,79.5,88.6,92.1,91.6,75.9,82.4,84.8,81.6,77.4,28.8
E14000618,78.7,87.0,76.4,100.0,100.0,100.0,100.0,100.0,100.0,,,,
E14000619,82.8,59.7,46.6,40.7,31.1,,,,,,77.4,70.4,68.2
E14000620,88.4,88.1,83.4,82.0,100.0,100.0,80.5,79.8,79.6,79.0,73.4,75.4,82.5
E14000621,93.2,95.5,87.9,86.7,90.1,63.2,75.0,78.0,,,,,
E14000622,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0
E14000623,100.0,100.0,86.1,62.0,71.9,67.9,72.5,92.2,78.3,80.4,,,80.2
E14000624,73.2,88.6,100.0,100.0,100.0,72.6,65.5,89.8,89.0,100.0,93.1,,77.2
E14000625,77.2,66.7,61.5,72.3,68.1,67.7,68.0,51.0,73.9,72.4,77.3,100.0,62.6
E14000626,81.8,,,73.0,,,83.5,100.0,100.0,100.0,100.0,100.0,89.9
