PCON22CD,Apr 2021-Mar 2022,Apr 2022-Mar 2023,Jan 2021-Dec 2021,Jan 2022-Dec 2022,Jul 2021-Jun 2022,Jul 2022-Jun 2023,Oct 2020-Sep 2021,Oct 2021-Sep 2022,Oct 2022-Sep 2023
E14000530,25.4,,34.9,,0.0,,50.9,,0.0
E14000531,100.0,61.7,74.0,72.2,90.2,79.0,78.6,87.7,77.6
E14000532,37.0,37.8,35.3,52.1,47.7,21.7,49.5,55.1,0.0
E14000533,,0.0,,0.0,47.2,,0.0,42.4,54.0
E14000534,56.0,,67.6,,69.5,,59.2,78.8,0.0
E14000535,76.5,,80.3,,100.0,,44.8,100.0,0.0
E14000536,38.3,,50.0,,27.9,,51.8,,0.0
E14000537,53.3,38.1,38.1,40.2,43.6,42.4,46.8,34.3,49.5
E14000538,60.8,59.7,46.6,80.4,74.8,,44.9,60.4,44.6
E14000539,26.3,,29.0,44.8,43.2,,27.6,61.8,0.0
E14000540,,0.0,,0.0,,0.0,,0.0,40.9
E14000541,28.0,50.9,32.8,43.9,41.5,48.0,25.7,48.8,0.0
E14000542,59.2,57.0,64.1,55.5,63.8,49.5,49.8,48.5,74.1
E14000543,31.8,42.6,32.0,51.1,29.9,28.7,36.2,46.3,0.0
E14000544,70.0,,0.0,70.8,83.4,43.1,,88.2,36.9
E14000545,59.3,,0.0,62.1,70.5,58.4,51.3,78.1,36.7
E14000546,,0.0,,0.0,,0.0,,0.0,0.0
E14000547,30.7,48.7,28.2,48.5,26.6,51.4,40.6,36.9,0.0
E14000548,,51.3,29.9,59.9,29.7,64.4,30.4,40.4,51.4
E14000549,,0.0,,0.0,,0.0,,0.0,0.0
E14000550,,57.2,,0.0,,36.2,,0.0,52.6
E14000551,55.0,40.7,59.3,51.6,66.3,38.6,34.4,65.9,40.7
E14000552,,0.0,18.8,,0.0,,0.0,34.5,0.0
E14000553,,0.0,,36.9,39.1,,0.0,39.1,0.0
E14000554,31.8,50.6,32.9,56.2,,68.6,49.0,36.0,72.6
E14000555,,0.0,38.4,,0.0,,59.0,,0.0
E14000556,76.2,48.0,67.1,57.3,80.6,34.7,61.8,62.2,0.0
E14000557,,100.0,,0.0,,0.0,,0.0,0.0
E14000558,61.6,,58.2,52.7,48.7,,58.6,44.5,0.0
E14000559,51.8,,48.5,,44.1,,35.4,40.0,0.0
E14000560,,0.0,,0.0,,0.0,,33.0,0.0
E14000561,,40.0,,0.0,56.0,,0.0,52.6,39.4
E14000562,,0.0,,0.0,,0.0,,0.0,0.0
E14000563,,0.0,40.3,,0.0,,50.5,,0.0
E14000564,,54.2,,70.3,,48.1,26.0,72.3,0.0
E14000565,,45.1,,52.0,,35.8,,43.6,0.0
E14000566,,46.7,,42.3,31.3,,0.0,36.1,0.0
E14000567,46.6,18.0,49.2,17.0,28.8,,65.3,28.0,0.0
E14000568,41.5,28.2,39.3,37.8,39.6,31.0,,40.5,27.9
E14000569,25.4,74.6,26.8,52.7,23.2,85.8,46.2,43.7,91.8
E14000570,18.9,,25.9,,17.7,,0.0,20.4,0.0
E14000571,,0.0,,0.0,,0.0,,0.0,0.0
E14000572,59.2,59.4,58.0,66.5,53.1,60.5,53.3,61.5,80.1
E14000573,37.4,66.4,35.1,60.8,42.5,63.7,46.2,47.6,56.3
E14000574,50.2,33.5,29.5,44.7,45.5,21.4,28.6,41.7,22.3
E14000575,64.4,50.1,74.8,41.9,57.9,48.5,81.2,55.0,0.0
E14000576,61.3,,0.0,73.5,57.3,,0.0,58.4,0.0
E14000577,,100.0,,56.4,,100.0,,67.0,0.0
E14000578,,57.3,37.4,54.6,36.9,,35.6,47.5,0.0
E14000579,42.6,36.7,28.3,56.7,46.9,,0.0,49.1,55.5
E14000580,43.0,60.0,36.2,62.5,42.2,62.7,43.4,52.0,0.0
E14000581,43.6,28.1,16.2,43.2,40.2,38.9,,44.8,26.2
E14000582,,70.1,,58.6,33.6,85.8,,55.8,89.4
E14000583,65.5,57.1,71.6,49.4,63.8,,77.9,57.9,59.0
E14000584,33.2,53.3,26.7,55.1,43.5,55.2,17.3,55.0,53.4
E14000585,100.0,48.9,100.0,48.6,82.8,53.2,95.3,55.3,47.9
E14000586,47.8,44.0,54.7,47.1,41.7,49.2,54.3,41.1,48.9
E14000587,26.9,,0.0,,0.0,,22.1,,0.0
E14000588,,46.6,,0.0,,53.9,,0.0,45.1
E14000589,,0.0,,0.0,,0.0,,0.0,66.4
E14000590,62.5,74.4,70.9,,66.1,77.0,59.7,46.7,0.0
E14000591,,0.0,,0.0,,0.0,,0.0,0.0
E14000592,37.7,,32.9,,27.4,,25.8,,0.0
E14000593,,0.0,,0.0,,0.0,,0.0,0.0
E14000594,40.8,,0.0,,48.6,,0.0,73.7,0.0
E14000595,,51.1,,70.6,,0.0,,60.9,0.0
E14000596,37.3,74.4,,64.5,38.6,75.9,38.1,51.2,63.3
E14000597,59.9,,60.6,,53.1,,25.4,52.8,0.0
E14000598,47.7,56.6,56.9,42.6,49.7,55.4,31.1,31.4,72.6
E14000599,64.0,,66.9,,39.2,,53.9,39.1,0.0
E14000600,,30.5,,34.5,28.9,36.6,38.6,40.3,35.2
E14000601,47.5,66.1,50.0,62.2,55.8,70.2,41.2,60.3,51.7
E14000602,19.6,,0.0,,15.3,19.7,26.2,,24.4
E14000603,,100.0,,55.8,,100.0,,49.6,72.7
E14000604,,28.2,50.1,,0.0,39.6,45.8,,43.9
E14000605,,71.9,,63.3,,64.9,,0.0,75.4
E14000606,59.7,,71.6,,0.0,79.3,72.2,,65.1
E14000607,43.2,,43.6,,52.4,,51.0,49.0,0.0
E14000608,34.3,67.7,36.2,79.7,44.7,62.5,27.8,74.8,0.0
E14000609,,0.0,,0.0,,0.0,,0.0,0.0
E14000610,53.3,100.0,44.8,100.0,87.6,,52.0,86.1,75.1
E14000611,,41.1,,38.1,,0.0,18.2,40.2,0.0
E14000612,41.0,50.7,28.7,56.2,52.4,47.6,37.0,50.5,39.2
E14000613,27.3,55.3,25.1,36.6,,54.2,23.2,,52.8
E14000614,30.1,45.2,18.0,49.3,38.5,52.0,14.0,49.9,56.5
E14000615,,0.0,,0.0,,0.0,,43.0,0.0
E14000616,49.9,31.2,,62.8,64.0,38.3,36.7,58.3,52.1
E14000617,,70.7,,51.4,47.6,59.3,,53.9,0.0
E14000618,68.3,,55.6,,57.9,,81.4,51.9,0.0
E14000619,,0.0,22.8,,0.0,,26.3,,0.0
E14000620,48.6,,60.4,,53.8,,61.9,,0.0
E14000621,30.2,59.8,38.5,66.3,25.5,74.0,44.9,37.3,77.1
E14000622,68.7,64.0,50.7,68.6,60.4,58.1,,85.1,0.0
E14000623,39.8,,45.6,33.6,37.8,,51.6,38.6,0.0
E14000624,,49.9,34.7,37.5,,47.5,39.1,,44.2
E14000625,,62.0,48.7,57.7,,63.2,29.5,,72.0
E14000626,100.0,44.9,100.0,64.0,73.1,46.8,100.0,63.8,63.7
E14000627,48.6,54.7,45.3,69.1,55.9,45.6,49.9,57.6,37.2
E14000628,45.3,78.3,44.4,62.0,,100.0,34.2,67.2,0.0
E14000629,,0.0,,0.0,,0.0,,0.0,0.0
E14000630,50.2,,27.9,41.5,70.9,,0.0,50.2,47.4
E14000631,34.5,,59.7,,32.8,,60.1,18.6,0.0
E14000632,58.7,,37.6,,57.9,,44.9,61.5,0.0
E14000633,58.6,,45.9,,76.0,,40.2,,0.0
E14000634,35.3,,52.0,,30.2,,34.2,34.5,0.0
E14000635,60.5,39.0,48.4,38.4,68.5,44.4,44.4,,43.7
E14000636,34.9,51.1,21.4,53.5,32.3,52.3,24.4,45.4,38.0
E14000637,,0.0,56.1,,0.0,,82.2,,0.0
E14000638,80.8,75.0,72.3,86.3,100.0,65.7,63.9,79.8,44.6
E14000639,,41.8,,37.4,39.4,32.7,,37.1,0.0
E14000640,,0.0,,0.0,,0.0,,0.0,0.0
E14000641,55.7,,71.3,46.8,53.8,,82.2,50.9,0.0
E14000642,,0.0,,0.0,,0.0,,0.0,0.0
E14000643,63.0,45.9,64.1,35.2,62.4,42.3,58.2,62.5,47.1
E14000644,,0.0,,0.0,,0.0,,0.0,0.0
E14000645,59.6,46.4,44.2,63.0,51.6,54.2,46.8,46.9,58.4
E14000646,45.2,58.5,47.5,53.7,34.8,55.9,54.3,57.5,49.5
E14000647,55.4,100.0,,74.3,63.9,100.0,,75.4,0.0
E14000648,34.4,59.4,34.8,40.4,45.9,52.3,36.0,54.6,56.2
E14000649,41.2,49.0,44.6,51.0,50.1,33.6,37.0,54.9,0.0
E14000650,,34.8,28.6,35.1,18.4,,27.5,34.7,0.0
E14000651,53.6,61.6,46.2,67.3,68.0,43.4,21.3,45.8,62.2
E14000652,,0.0,100.0,,78.0,,82.2,51.7,0.0
E14000653,36.4,,0.0,,38.4,,33.3,,0.0
E14000654,47.2,36.1,53.6,37.3,49.6,41.9,57.0,38.7,47.5
E14000655,22.3,,30.8,,39.2,,24.8,25.5,0.0
E14000656,,73.4,75.2,69.7,68.4,,45.1,,0.0
E14000657,,0.0,38.2,,0.0,46.6,24.3,,50.6
E14000658,50.2,58.8,50.0,48.6,45.5,69.9,52.0,41.1,69.8
E14000659,,0.0,,0.0,,0.0,,0.0,0.0
E14000660,,51.9,,58.7,,47.4,,48.2,40.6
E14000661,51.8,57.3,41.9,64.5,57.4,,45.2,50.0,0.0
E14000662,44.2,57.1,36.4,38.0,46.0,63.6,31.0,57.2,48.0
E14000663,30.2,,39.7,,23.5,,54.4,21.0,38.7
E14000664,48.5,,0.0,,45.3,,33.5,38.1,0.0
E14000665,72.4,,0.0,38.6,68.2,,0.0,44.0,0.0
E14000666,,26.3,51.7,,26.0,,41.6,30.7,0.0
E14000667,32.7,59.1,31.7,53.9,37.1,59.9,30.7,54.3,0.0
E14000668,66.7,,69.5,,0.0,44.7,62.7,48.4,0.0
E14000669,,34.4,,0.0,,42.1,41.2,,43.4
E14000670,,0.0,46.2,,0.0,92.5,43.0,,0.0
E14000671,,52.0,,54.4,,0.0,,55.3,0.0
E14000672,,0.0,,0.0,,0.0,,0.0,0.0
E14000673,,0.0,,0.0,,0.0,,0.0,0.0
E14000674,,0.0,,0.0,,0.0,,0.0,0.0
E14000675,,0.0,,0.0,,0.0,,0.0,0.0
E14000676,,0.0,,0.0,,0.0,,0.0,0.0
E14000677,,0.0,,0.0,,0.0,,0.0,0.0
E14000678,49.2,47.9,50.1,41.0,37.2,51.6,72.8,46.3,47.0
E14000679,,0.0,,0.0,30.6,,0.0,,0.0
E14000680,74.6,,74.7,,85.0,,56.6,57.6,65.9
E14000681,,0.0,,0.0,,0.0,,0.0,0.0
E14000682,,0.0,,0.0,,0.0,59.7,,0.0
E14000683,76.9,,85.3,,53.1,81.5,,58.9,82.8
E14000684,,0.0,,0.0,,0.0,,0.0,0.0
E14000685,59.5,,59.4,,52.0,,58.5,,68.2
E14000686,,0.0,,35.7,,0.0,,0.0,0.0
E14000687,,0.0,,0.0,,0.0,,0.0,0.0
E14000688,23.9,65.2,,39.5,22.8,64.4,,25.5,0.0
E14000689,,0.0,45.6,,35.8,,0.0,33.1,0.0
E14000690,38.2,,0.0,,54.5,,0.0,44.3,0.0
E14000691,100.0,,0.0,,52.0,,55.2,,0.0
E14000692,,0.0,,0.0,,0.0,,0.0,0.0
E14000693,59.4,,58.0,30.2,50.5,,39.7,47.4,0.0
E14000694,59.7,46.0,54.8,59.1,73.3,,48.6,69.2,0.0
E14000695,,61.6,,0.0,,69.6,,65.7,59.4
E14000696,,0.0,,0.0,,0.0,16.5,,0.0
E14000697,,0.0,,0.0,,44.6,,31.2,49.7
E14000698,44.5,41.7,,36.9,38.6,53.6,,31.0,65.3
E14000699,44.3,100.0,37.9,100.0,47.0,100.0,50.1,68.4,100.0
E14000700,,0.0,,0.0,,0.0,84.6,,0.0
E14000701,,0.0,,0.0,,0.0,,47.5,0.0
E14000702,45.6,52.0,39.3,65.7,47.2,36.0,42.1,66.9,50.6
E14000703,15.9,,0.0,,20.4,,0.0,23.1,0.0
E14000704,100.0,70.5,67.8,100.0,100.0,35.9,64.7,100.0,0.0
E14000705,48.8,,52.8,,47.4,,37.0,34.0,0.0
E14000706,,47.6,,0.0,,0.0,,0.0,0.0
E14000707,62.8,,56.9,,79.8,77.8,,71.0,0.0
E14000708,57.0,,52.5,,50.0,,48.2,44.6,0.0
E14000709,53.4,37.4,50.3,29.6,37.9,43.9,51.7,28.7,44.1
E14000710,39.3,30.2,34.9,,0.0,,31.7,,17.5
