PCON22CD,Average Progress 8 Score,Average Attainment 8 Score,Percentage Achieving Grade 4 English & Maths,Percentage Achieving Grade 5 English & Maths,suffix
E14000530,-0.63,41.0,56.7,36.1,%
E14000531,-0.36,42.5,58.4,36.0,%
E14000532,0.4,59.6,83.0,67.6,%
E14000533,-0.14,43.6,60.2,39.1,%
E14000534,0.08,47.9,68.0,46.5,%
E14000535,-0.27,42.2,57.5,35.9,%
E14000536,-0.08,45.9,64.5,44.1,%
E14000537,0.03,45.6,64.8,45.3,%
E14000538,0.07,52.3,70.5,54.8,%
E14000539,-0.25,42.1,57.0,38.0,%
E14000540,0.36,49.1,67.5,49.5,%
E14000541,-0.46,37.1,54.0,35.3,%
E14000542,-0.25,44.0,61.0,43.4,%
E14000543,-0.34,43.4,59.1,35.7,%
E14000544,-0.25,46.1,67.2,45.3,%
E14000545,-0.3,42.1,59.0,38.4,%
E14000546,-0.13,43.3,61.1,42.7,%
E14000547,0.38,52.2,76.6,55.1,%
E14000548,-0.01,48.6,67.7,48.2,%
E14000549,0.29,49.2,68.3,51.8,%
E14000550,0.35,56.2,78.1,63.5,%
E14000551,0.05,50.3,74.0,55.6,%
E14000552,0.11,42.2,59.9,39.4,%
E14000553,0.27,49.1,70.5,49.3,%
E14000554,-0.42,39.4,54.7,31.5,%
E14000555,0.42,50.7,72.6,56.8,%
E14000556,-0.08,46.3,64.8,45.2,%
E14000557,0.09,48.8,69.9,50.0,%
E14000558,0.02,51.2,71.2,54.8,%
E14000559,-0.09,42.9,59.3,39.4,%
E14000560,0.34,50.7,68.4,52.6,%
E14000561,-0.36,36.5,47.8,30.8,%
E14000562,-0.06,44.6,61.3,40.1,%
E14000563,0.14,43.8,59.8,39.2,%
E14000564,-0.09,44.1,62.4,44.7,%
E14000565,-0.36,38.8,52.4,31.9,%
E14000566,0.22,47.5,62.9,45.6,%
E14000567,0.19,52.4,72.6,57.7,%
E14000568,0.01,43.7,60.0,38.8,%
E14000569,-0.41,42.3,57.6,36.4,%
E14000570,0.08,47.1,66.8,48.4,%
E14000571,-0.03,44.0,59.0,39.1,%
E14000572,-0.91,33.8,41.6,21.3,%
E14000573,-0.81,35.3,47.9,31.9,%
E14000574,0.0,49.4,72.6,49.9,%
E14000575,-0.26,42.6,59.9,40.1,%
E14000576,-0.34,39.7,53.8,33.7,%
E14000577,-0.42,40.1,55.8,33.4,%
