ONS_CODE,Apr 2020-Mar 2021,Jul 2020-Jun 2021,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024
E14000530,,,,,,,,,,,,,
E14000531,,16.3,19.7,17.2,16.0,,22.1,16.1,27.8,22.8,,,
E14000532,20.7,19.4,20.9,,,,,,,,,,
E14000533,,,,,,17.7,,,,,,,
E14000534,,,,,,,,,,,,,
E14000535,,,,,,,,,,,,,31.8
E14000536,,33.2,22.8,25.5,,,,,,,,,
E14000537,,,,,20.6,,,,,,19.2,,
E14000538,,,,,,,,,,,,,
E14000539,,,,,,,,,,,,,
E14000540,,,,,,,,,,,,,
E14000541,,,16.3,,,,,,,,,,
E14000542,,9.3,11.7,9.5,16.8,,,,24.4,30.1,23.1,36.8,
E14000543,,,,,,,,,,,,,
E14000544,,,,,,,,,,,,,
E14000545,,,24.1,,,,,,,,,,
E14000546,,,,,,,,,,,,,
E14000547,,,,,,,,,,,,,
E14000548,,,,,,,,,,,,,
E14000549,,,,,,,,,,,,,
E14000550,,,,,,,,,,,,,
E14000551,,,,,,,,,,,,,
E14000552,,,43.8,,,,,,,,,,
E14000553,53.5,47.8,41.2,60.9,,,,,,,,,
E14000554,44.0,44.7,29.3,,,,,,,,,,
E14000555,,,,,,,,,,,,,
E14000556,,,,,,13.2,15.7,16.4,,,,,
E14000557,,38.9,44.0,,,,,,,,,,
E14000558,36.1,38.1,27.3,27.0,36.8,,,,,,,,
E14000559,,,16.1,16.4,18.7,34.2,,,,,,,
E14000560,,,,,,,,,,,,,
E14000561,,,,,,41.2,45.5,,73.4,,,,
E14000562,,,36.9,39.5,47.5,49.6,,100.0,42.2,48.7,48.0,,
E14000563,50.2,62.9,59.2,59.4,75.9,,57.5,47.9,,,,,
E14000564,34.9,27.1,32.6,35.7,,,19.2,21.3,28.1,29.4,,,
E14000565,,,,,,,,,,,,,
E14000566,,,,,,,,,,19.6,,61.6,54.1
E14000567,,,10.6,,18.4,17.5,13.9,,,,,,
E14000568,,,,,,40.2,35.6,25.5,19.4,,,,
E14000569,24.1,23.3,,,,,37.8,33.2,28.2,26.4,,40.8,45.1
E14000570,26.6,26.3,16.7,12.9,12.0,12.7,,,,,,,20.5
E14000571,,,,,,,,,,,,,
E14000572,,,16.8,13.3,14.6,9.9,17.3,17.8,24.4,24.2,,,
E14000573,10.9,12.7,,,,13.7,13.2,10.9,9.7,11.8,,,60.0
E14000574,25.8,28.0,26.8,23.0,17.2,,,,,,,,19.7
E14000575,,,,17.8,24.2,,33.8,28.4,,,,,
E14000576,,,,,,,,,,,,,
E14000577,,,,,,,,,,,,,
E14000578,,,,,,,,,,,,,
E14000579,,,,,30.8,,,,,,,,
E14000580,23.4,,,,,,,,,,,,
