ONS_CODE,Economically Inactive - Student,Economically Inactive - Aged 16+,Economically Inactive - Aged 16-19,Economically Inactive - Aged 16-24,Economically Inactive - Aged 16-64,Economically Inactive - Aged 20-24,Economic Activity Rate - Aged 16-19,Economic Activity Rate - Aged 16-64,Economic Activity Rate - Aged 20-24,Unemployment Rate - Aged 16+,Unemployment Rate - Aged 16-19,Unemployment Rate - Aged 16-24,Unemployment Rate - Aged 16-64,Unemployment Rate - Aged 20-24,Suffix
E14000530,34.6,24.4,77.8,25.2,11.3,,100.0,88.7,91.5,6.8,,,7.0,,%
E14000531,21.4,38.0,57.9,31.2,14.2,28.8,82.2,85.8,100.0,4.6,,22.8,4.8,28.6,%
E14000532,45.5,38.4,100.0,65.0,20.5,47.5,21.7,79.5,78.1,4.4,,20.9,4.6,,%
E14000533,16.4,39.5,37.6,29.3,23.1,,62.4,76.9,100.0,3.6,,17.7,3.7,,%
E14000534,52.6,36.5,64.8,72.9,20.4,77.3,78.8,79.6,84.9,3.6,,,3.9,,%
E14000535,39.2,43.2,47.2,34.5,27.3,49.7,52.8,72.7,69.0,9.5,,31.8,9.8,,%
E14000536,8.1,39.4,69.3,48.9,26.4,38.2,27.9,73.6,64.5,4.6,49.3,25.5,5.1,,%
E14000537,11.6,36.3,55.2,19.2,22.3,,44.8,77.7,100.0,7.5,,19.2,7.7,,%
E14000538,48.9,33.0,61.8,35.1,10.7,,38.2,89.3,100.0,7.1,,,7.8,,%
E14000539,29.2,31.9,100.0,24.4,14.6,,44.8,85.4,92.7,,,,,,%
E14000540,31.5,34.2,63.8,52.3,26.9,42.1,36.2,73.1,57.9,5.1,,,5.2,,%
E14000541,19.0,46.0,58.3,33.7,30.9,58.9,48.0,69.1,75.4,2.4,,16.3,2.5,,%
E14000542,18.1,40.2,48.7,41.3,25.7,33.5,51.3,74.3,66.5,3.7,36.9,36.8,3.8,,%
E14000543,16.3,46.2,56.8,32.2,27.7,27.8,43.2,72.3,89.1,2.8,,,2.9,,%
E14000544,46.7,38.3,61.8,50.8,26.7,,38.2,73.3,77.2,11.6,,,12.0,,%
E14000545,27.6,26.7,56.5,29.9,15.9,38.4,43.5,84.1,88.6,6.6,,24.1,6.1,,%
E14000546,20.7,43.1,80.7,38.8,24.1,,,75.9,100.0,4.0,,,4.5,,%
E14000547,43.6,39.0,61.4,60.9,26.7,60.6,38.6,73.3,39.4,2.1,,,2.1,,%
E14000548,24.6,43.4,45.0,33.8,30.7,,55.0,69.3,72.5,6.6,,,7.0,,%
E14000549,26.8,8.9,100.0,38.5,6.8,,,93.2,100.0,4.2,,,4.4,,%
E14000550,37.6,33.7,63.1,50.5,19.3,30.8,36.9,80.7,62.2,6.0,,,6.3,,%
E14000551,26.5,43.6,37.8,50.6,21.2,61.6,62.2,78.8,38.4,7.1,,,7.1,,%
E14000552,27.1,27.6,100.0,45.9,14.2,51.9,34.5,85.8,100.0,4.6,,43.8,4.7,,%
E14000553,45.8,26.5,100.0,75.1,20.4,40.7,36.9,79.6,59.3,3.8,,60.9,3.9,60.9,%
E14000554,9.8,51.8,36.6,36.1,29.1,,63.4,70.9,64.8,5.2,,29.3,5.5,54.4,%
E14000555,26.9,35.6,100.0,59.4,30.0,43.3,38.4,70.0,56.7,5.8,,,5.8,,%
E14000556,19.3,49.4,60.3,18.3,22.2,31.9,34.7,77.8,100.0,4.4,40.3,16.4,4.1,,%
E14000557,39.4,52.5,71.6,66.1,33.4,,51.6,66.6,74.2,5.5,,44.0,5.7,,%
E14000558,21.8,32.2,58.6,54.5,21.2,20.8,52.7,78.8,80.4,11.3,57.4,36.8,12.1,,%
E14000559,19.1,41.6,82.1,33.1,29.4,100.0,40.0,70.6,88.1,8.5,82.2,34.2,8.8,,%
E14000560,53.9,30.5,100.0,31.0,21.7,30.5,33.0,78.3,90.6,5.0,,,5.0,,%
E14000561,27.0,46.5,59.0,50.9,39.6,44.1,41.0,60.4,55.9,9.0,100.0,73.4,9.1,,%
E14000562,62.0,45.9,57.4,72.0,26.8,64.4,,73.2,60.3,15.6,,48.0,15.7,58.2,%
E14000563,33.1,51.1,89.1,90.5,48.3,44.3,40.3,51.7,78.0,9.5,56.4,47.9,9.7,,%
E14000564,41.8,23.5,74.1,32.0,17.4,18.3,48.1,82.6,86.1,6.0,,29.4,6.0,30.3,%
