Title,Value,Note,Units post
2-way not met,25.9,,%
2-way partially met,11.1,,%
2-way mostly met,0,,%
2-way fully met,63.0,,%
3-way not met,85.2,,%
3-way partially met,7.4,,%
3-way mostly met,0,,%
3-way fully met,7.4,,%
