Age,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age24,62.5,12.3,10.8,67.1,6.8,6.1,48.5,14,14.2,80.6,9.1,6.7,66.7,8,7.1,54.5,9.9,9.6,56.3,8.7,8.3,60.8,10.6,9.7,80,1,1
Age23,61.5,13.7,12.1,61.3,7.2,6.7,37.7,10,11.2,67.4,8.8,7.7,65.5,8.7,7.7,49,10.5,10.6,58.7,8.1,7.7,51.2,10.1,10,77.2,1.1,1.1
Age22,63,11.3,10.1,55.5,6.8,6.6,17.5,6.9,10,55.5,8,7.7,56.3,7.9,7.6,41.8,8.6,9.1,44.8,8.5,8.8,38.8,9.1,10,71.1,1.2,1.2
Age21,37.6,9.3,10.3,44.8,6,6.1,8.4,4.4,8.5,43.5,8.1,8.4,48,8.4,8.5,31.9,8.9,10.4,35.4,6.8,7.5,35.6,9.9,11.2,65.1,1.3,1.3
Age20,27.6,8.1,9.9,36.2,6,6.4,12.1,5.1,7.9,40.5,8.2,8.7,38.1,7.1,7.6,38.1,8.3,9,36.1,7,7.7,29.1,8.5,10.2,59.7,1.3,1.3
Age19,31.6,10.4,12.6,32.8,6.1,6.7,19.7,8.6,12.9,24.6,6.1,7.3,40.6,6.7,7,27,6.8,8.1,29.3,6.9,8.1,29.2,9,11.1,54.2,1.3,1.3
Age18,16.3,6.9,10.5,21.7,4.4,5.2,21,10.3,16.2,20.3,6,7.6,37,6.2,6.6,13,4.7,6.8,18.8,4.4,5.4,29.2,9.3,11.5,49.2,1.2,1.2
Age17,2.4,1.7,5,12.9,3,3.7,9.4,6.3,16.1,10.2,3.6,5.2,31.5,5.3,5.8,14.7,4.7,6.5,6.8,2.6,3.9,12.3,5,7.6,37.9,1.1,1.2
Age16,,,,4.4,1.9,3.3,4.8,3.6,12.9,6.9,2.8,4.6,10.7,2.8,3.6,1.7,1.2,3.5,1.2,0.9,2.7,1.7,1.2,3.6,18,0.9,0.9
