Ethnic group,Female,Female,Female,Male,Male,Male
,Value (%),Uncertainty minus (%),Uncertainty plus (%),Value (%),Uncertainty minus (%),Uncertainty plus (%)
---,---,---,---,---,---,---
White,58,0.4,0.4,57,0.4,0.4
Black,37,2,2.1,32,2.1,2.2
Pakistani,31,2.3,2.4,34,2.3,2.4
Indian,41,2.8,2.9,39,2.6,2.6
Bangladeshi,33,3.5,3.7,36,3.8,4
Chinese,21,3.5,4,24,4.2,4.8
Other Asian,33,3.3,3.4,36,3.2,3.4
Mixed/Multiple,42,2.4,2.4,44,2.4,2.4
Other,30,2.8,3,31,2.9,3
