Ethnic Group,Female,Female,Female,Male,Male,Male
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,24.9,0.2,0.2,30,0.2,0.2
Black,21,1.1,1.1,26.7,1.4,1.3
Pakistani,22.9,1.5,1.5,24.7,1.4,1.4
Indian,23.8,1.5,1.5,28.1,1.3,1.4
Bangladeshi,21.7,2,1.9,24.6,2.3,2.2
Chinese,28.1,3.3,3.3,26.4,4.4,4.4
Other Asian,25,1.8,1.7,26.8,2,2
Mixed/Multiple,22.3,1.2,1.2,25.1,1.3,1.3
Other,20.9,1.8,1.8,27.4,2.1,2.1
