Region,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,14.2,9.9,23.3,28.4,10.7,13.9,22.4,14.1,25.6,33.5,11,13.2,23.6,7.4,9.4,34.1,12,14.4,35.1,12.3,14.7,17,10.5,20.7,54.7,1.3,1.3
North West,36.1,8.5,9.4,36.8,5.2,5.5,22.1,10.3,15.6,40.9,6,6.4,52,6.7,6.5,24.2,5.7,6.9,33.9,3.8,4,19.1,5.5,7.2,57.6,0.9,0.8
Yorkshire and Humber,16.7,7,10.4,29.9,6.4,7.3,23,8.7,12,43.7,8.5,9,36.2,5.9,6.3,44.7,7.5,7.7,30.8,3.3,3.6,35.5,9.5,10.8,57.3,1,1
East Midlands,31.3,11.2,14.1,33.6,5.3,5.7,18.6,7.1,10.1,45.8,4.8,4.8,40.1,6.2,6.5,35.1,10.3,11.8,22.2,6.5,8.2,40.2,8.6,9.2,59.8,1.1,1
West Midlands,28.3,5.5,6.3,34,3.9,4.2,10.3,5.2,9.2,36.8,4.7,4.9,40.8,5.1,5.3,25.1,5.7,6.7,26.2,3.2,3.6,19.8,5.3,6.7,57.3,1,1
East of England,40.5,9.6,10.4,42.5,5.2,5.4,17.1,9.2,16.1,35.1,7.7,8.5,47.9,5.3,5.2,41.4,9,9.6,44.4,7.6,7.9,39.7,8.2,8.8,60.6,0.9,0.9
London,37.2,3.8,4,34.2,2.2,2.3,25,4.7,5.4,40.5,3.6,3.7,43.2,3.3,3.4,31.9,3.2,3.4,34.9,4.4,4.7,37.7,4.1,4.3,50.8,1.2,1.2
South East,49.8,12,12,32,4.6,5.1,14.4,5.3,7.6,42.6,5.6,5.8,41.5,4.2,4.3,31.8,6.3,7,39.2,5.9,6.3,44.2,5.9,6.1,60.3,0.7,0.8
South West,49.4,21.2,21.4,48.7,8.9,9.1,59.1,17.1,15.1,33.5,9.3,10.7,51.1,6.1,6,24.8,8.2,10.7,45.2,13.4,14.2,32.2,10.4,12.6,61.4,0.9,0.9
Wales,32.1,16.3,22.1,32.7,13.4,16.9,23.9,11.6,17.6,19.4,9.4,14.8,53.7,10.3,10,21,8.2,11.3,11.1,7.6,18.6,34.7,12.2,14.6,55.7,1.2,1.2
Scotland,16.7,12.6,32,41.2,9.1,9.8,31.9,11.9,14.7,24.4,9,11.9,36.6,8.7,9.7,20.6,7.4,10.1,33.2,7.6,8.8,38.7,14.6,17,59.5,1,0.9
Northern Ireland,,,,27.1,13.5,19.6,15.1,7.1,11.6,41.5,23.2,27.7,28.6,9.6,12.1,10.5,5.6,10.5,77.9,39.5,17.3,39.2,12.8,14.4,48.8,1,1.1
