Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,41.6,1.1,1,48.6,0.5,0.5
Black/African/ \n Caribbean/Black British,50,6.9,6.9,69.5,2.1,2.1
Pakistani,64.2,8,7.3,67.7,2.5,2.5
Indian,65.5,10.4,9.1,65.9,3,2.8
Bangladeshi,65.8,14.6,12.1,67.4,3.9,3.7
Chinese,44.9,24.3,27.1,80.2,4.1,3.5
Other Asian,62.4,12.7,11.3,69.4,3.5,3.3
Mixed/Multiple,51.5,5.7,5.7,66.6,2.6,2.5
Other,67.7,10.5,8.9,70.7,3,2.9
