Ethnic Group,Female,Female,Female,Male,Male,Male
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,47,0.4,0.4,43.8,0.4,0.4
Black/African/ \n Caribbean/Black British,66.5,2.1,2,60.6,2.3,2.2
Pakistani,66.6,2.4,2.4,63.9,2.4,2.4
Indian,65,2.8,2.8,63.7,2.7,2.5
Bangladeshi,65.5,3.8,3.6,62.7,4,3.9
Chinese,79.1,4.1,3.5,76,4.5,4
Other Asian,68.7,3.4,3.1,66,3.4,3.3
Mixed/Multiple,62.9,2.4,2.3,53.5,2.4,2.4
Other,69.8,2.9,2.8,60.1,3.3,3.1
