Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,34.6,1.1,1.1,61.4,0.4,0.4
Black,23,5.7,6.9,34.1,2.2,2.3
Pakistani,23.1,6.6,8.2,35.2,2.5,2.6
Indian,18.6,7.8,11.6,40.5,2.7,2.7
Bangladeshi,20.8,8.3,11.7,38.8,4.2,4.4
Chinese,,,,25,4.3,4.9
Other Asian,25,9.9,13.4,37.3,3.4,3.5
Mixed/Multiple,35.3,6,6.5,46,2.6,2.7
Other,20.7,7.3,9.8,33.1,3.1,3.3
