Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,46.2,1.1,1.1,61.4,0.5,0.5
Black,34.7,6.4,7,37.8,2.2,2.2
Pakistani,24.9,6.3,7.6,31.8,2.4,2.5
Indian,45.4,10.3,10.7,41,2.9,3
Bangladeshi,31.9,11.5,14.2,34.5,3.7,3.9
Chinese,78.4,29.2,14.8,20.1,3.5,4
Other Asian,25.3,9.2,12.2,34.1,3.4,3.6
Mixed/Multiple,31.5,5,5.5,45.3,2.7,2.7
Other,34.5,9.6,11,30.5,3,3.2
