Ethnic Group,Female,Female,Female,Male,Male,Male
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,8.74,0.1,0.1,9.25,0.1,0.1
Black,9.3,0.8,0.8,10.23,1,1
Pakistani,9.6,1.2,1.2,8.64,0.8,0.8
Indian,9.22,0.9,0.9,11.27,1.5,1.5
Bangladeshi,10.12,1.2,1.2,10.51,1.7,1.7
Chinese,12.18,1.9,1.9,12.76,3.2,3.2
Other Asian,9.77,1.2,1.2,10.4,1.2,1.2
Mixed/Multiple,9.08,0.9,0.9,9.31,0.7,0.7
Other,10.84,1.5,1.5,9.66,1.3,1.3
