Ethnic Group,Employment,Employment,Employment
,Value (%),- (%),+ (%)
---,,,
White,57.8,0.3,0.6
Black,34.9,1.5,3
Pakistani,32.3,1.7,3.3
Indian,40,2,3.9
Bangladeshi,34.8,2.6,5.3
Chinese,22.5,2.7,5.7
Other Asian,34.7,2.3,4.7
Mixed/Multiple,42.9,1.7,3.5
Other,30.9,2,4.1
