Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,
White,40.8,0.8,0.8,61.4,0.3,0.3,41,1,1,61,0,0
Black,29.7,4.5,5,36.1,1.6,1.6,30,5,5,36,2,2
Pakistani,24.2,4.7,5.5,33.5,1.8,1.8,24,5,6,34,2,2
Indian,33.6,7.1,7.9,40.7,2,2,34,7,8,41,2,2
Bangladeshi,24.9,7.1,8.7,36.6,2.8,2.9,25,7,9,37,3,3
Chinese,42.3,20.3,23.3,22.3,2.8,3.1,42,20,23,22,3,3
Other Asian,25.1,7.2,8.9,35.8,2.4,2.5,25,7,9,36,2,3
Mixed/Multiple,33.1,3.9,4.2,45.7,1.9,1.9,33,4,4,46,2,2
Other,27.5,6.3,7.3,31.8,2.2,2.3,28,6,7,32,2,2
