Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,8.63,0.38,0.39,9.31,0.12,0.13
Black,10.44,3.09,3.1,10.21,1.07,1.07
Pakistani,8.12,2.84,2.84,8.66,0.85,0.85
Indian,11.8,2.89,2.89,11.23,1.55,1.55
Bangladeshi,7.09,1.18,1.18,11.06,1.7,1.7
Chinese,,,,12.76,3.17,3.17
Other Asian,10.46,3.96,3.96,10.4,1.2,1.2
Mixed/Multiple,8.82,1.56,1.57,9.38,0.71,0.71
Other,5.1,2.54,2.55,9.9,1.35,1.35
