quarter,neet_total,neet_unemployed,neet_economically_inactive,total_popuplation,percentage_neet
Jan-Mar 2019,764183.8700515023,299651.66881126614,464532.2012402361,6935588.0,11.018299674829333
Apr-Jun 2019,792346.0651661337,329883.51476053515,462462.5504055985,6913980.0,11.46005723427221
Jul-Sep 2019,800295.4952633872,316752.5839690232,483542.9112943641,6899638.0,11.599093970776252
Oct-Dec 2019,762514.0853526024,301742.6333668721,460771.4519857303,6888877.0,11.068771954450666
Jan-Mar 2020,773870.5122285518,319511.3139698459,454359.1982587059,6873352.0,11.258997243681856
Apr-Jun 2020,790989.796593196,304136.03715969005,486853.759433506,6852443.0,11.543179514126509
Jul-Sep 2020,772881.6677056467,348316.3402364934,424565.3274691534,6849739.0,11.28337397535361
Oct-Dec 2020,797760.9292384482,354087.9448012371,443672.9844372111,6832734.0,11.675574217267174
Jan-Mar 2021,723528.8042030449,317945.6699641783,405583.1342388665,6816163.0,10.61489879574542
Apr-Jun 2021,644356.8433293989,279471.9522966931,364884.89103270584,6805141.0,9.468677332760613
Jul-Sep 2021,708463.1804992002,270262.49926281045,438200.6812363898,6815111.0,10.395475297455906
Oct-Dec 2021,693649.3928072673,256495.57510895148,437153.8176983158,6813325.0,10.180776534324536
Jan-Mar 2022,707249.3289750393,246973.92854353026,460275.4004315091,6816697.0,10.375249610992528
Apr-Jun 2022,711429.2176361557,238658.23334559973,472770.98429055593,6823520.0,10.426132225539833
Jul-Sep 2022,723689.0739914065,233616.98157853383,490072.0924128727,6840016.0,10.58022487069338
Oct-Dec 2022,788083.054131716,298622.9420771216,489460.11205459444,6837737.0,11.525495264467118
