Ethnic Group,Disabled,Disabled,Disabled,Not disabled,Not disabled,Not disabled
,Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,
White,39.4,1.2,1.1,44.9,0.5,0.4
Black/African/ \n Caribbean/Black British,52.2,7.4,7.3,63,2.4,2.3
Pakistani,59.3,8.8,8.3,65.2,2.6,2.4
Indian,64.3,11.8,10.2,64.5,2.7,2.6
Bangladeshi,64,11.9,10.4,63.4,4.3,4.2
Chinese,66.6,35.6,23.2,76.5,4.5,4
Other Asian,58.1,12.9,11.9,67.4,3.6,3.4
Mixed/Multiple,41.8,6,6.3,56.4,2.7,2.6
Other,52.9,10.7,10.4,61.9,3.4,3.3
