Age,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age24,81,15,9,58,8,7,41,13,14,79,8,6,85,7,5,64,11,9,68,9,8,60,11,10,83,1,1
Age23,71,11,9,56,7,7,33,10,11,71,8,7,64,8,7,58,10,9,69,8,7,59,12,11,80,1,1
Age22,54,12,12,44,7,7,20,8,11,59,8,8,66,8,7,44,9,9,64,8,8,47,10,10,71,1,1
Age21,49,12,12,37,6,7,12,9,25,45,8,9,49,8,8,37,9,10,42,8,9,33,8,10,64,1,1
Age20,33,11,13,40,6,7,14,7,11,28,7,8,48,8,8,27,9,11,31,6,7,41,10,11,58,1,1
Age19,34,10,12,39,6,7,44,15,16,36,7,8,39,7,7,18,6,7,25,6,7,45,9,10,53,1,1
Age18,10,5,9,16,4,5,24,16,30,21,5,6,30,5,6,16,5,7,18,5,6,19,6,8,45,1,1
Age17,4,2,5,10,3,4,2,2,12,12,4,5,21,4,5,11,4,7,10,3,4,13,4,6,32,1,1
Age16,1,1,4,2,1,2,2,1,9,7,3,4,9,3,4,5,2,4,4,2,3,7,3,6,15,1,1
