Region,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,71.1,23.7,15.9,83.2,12.2,7.8,77.6,25.6,14.1,77.5,12.9,9.1,81.4,9.9,6.9,63.1,15.3,13,86.8,12.1,6.8,56.8,18.4,16.6,44.9,1.3,1.3
North West,63.3,9.4,8.5,64.2,5.5,5.1,92.4,7.9,4,73.4,5.9,5.2,59.4,6.7,6.3,75.3,6.6,5.7,67.4,4,3.8,74.7,7.6,6.3,45,0.9,0.9
Yorkshire and Humber,64.5,11.4,10,66,7.6,6.8,77.5,12.1,8.7,60.4,9,8.4,59.3,6.4,6,48.1,7.5,7.6,57.5,3.7,3.6,63.8,10.6,9.5,44.7,1,1
East Midlands,77,14.6,10.2,70.4,5.5,5,80.7,10.3,7.3,63.3,4.9,4.5,61,6.6,6.2,65.3,11.8,10.1,63.8,10.1,9,72,8.8,7.5,43.2,1,1.1
West Midlands,67.4,6.8,6.1,67.2,4,3.6,77.7,11.5,8.4,63.1,4.9,4.6,55.7,5.4,5.2,76.5,6.5,5.4,64,3.7,3.6,70.8,7.7,6.7,43.3,1,1.1
East of England,55.3,10.2,9.8,55.3,5.4,5.2,77.8,16.4,10.7,70.9,8.3,7.1,44.3,5.1,5.2,59,9.6,9,63.3,7.8,7.2,61.9,8.8,8.1,41.8,0.9,0.9
London,64.6,4,3.8,62,2.3,2.3,71.8,5.5,4.9,58.6,3.7,3.6,59.5,3.4,3.3,61.5,3.5,3.4,73.3,4.3,3.9,65.3,4.2,4,48.3,1.2,1.2
South East,39.8,10.9,11.9,68,5.2,4.7,85.7,7.7,5.3,68,5.7,5.2,55.5,4.4,4.2,66.6,7.1,6.3,62.3,6.3,5.9,65.2,6.2,5.7,46.6,0.8,0.8
South West,65.7,23.7,17.8,46.8,8.9,9,69.9,16.6,12.6,66.2,11.7,10,64.4,6.2,5.8,81.8,10.5,7.2,55.4,14.1,13.3,70,12.5,10,45.1,0.9,1
Wales,67.3,22.3,16.5,59.5,16.5,14.6,96.7,16.8,2.8,77.9,16.8,10.9,54.7,10.3,9.9,77.5,11.4,8.4,90.9,21.3,6.9,76.4,16.1,10.9,45.7,1.3,1.2
Scotland,77.5,30.3,15.5,75,9.2,7.4,68.9,14.6,11.6,78.8,11.9,8.5,62.9,9.8,8.9,63,11,9.8,74.4,8.6,7,59.2,16.6,14.8,46.5,1,1
Northern Ireland,100,0,0,58.1,18.6,16.7,81.6,12.3,8,70.6,29.7,18.7,68.3,13.1,10.8,78.2,11.8,8.5,77.1,39.8,17.9,86.8,12.6,6.9,53.2,1.1,1
