local_authority_name,value
Boston,2.489401334557022
South Holland,2.141748986858458
Fenland,2.094609685475602
North East Lincolnshire,2.088717272802744
Doncaster,2.0710400347841733
Blackpool,1.8942676545984625
Swale,1.8942676545984625
North Lincolnshire,1.8530207658884632
Walsall,1.8412359405427496
Ashfield,1.7116028617398953
Oldham,1.6644635603570392
Pendle,1.652678735011325
Sandwell,1.6467863223384676
Barnsley,1.6350014969927542
East Lindsey,1.5878621956098973
Tendring,1.5348304815541849
Rotherham,1.5289380688813272
Mansfield,1.5171532435356136
Great Yarmouth,1.5053684181898996
Bolsover,1.499476005517042
