local_authority_name,value
City of London,-4.407381817534702
Lewisham,-1.805772581169555
Tower Hamlets,-1.7950819848504307
Harrow,-1.6595385175297193
Southwark,-1.5930961844479077
Brent,-1.5817270399168182
Isles of Scilly,-1.4744748786582444
Hackney,-1.4510441934614071
Trafford,-1.4156073592895957
Ealing,-1.375642254397117
Redbridge,-1.3599525579857594
Wandsworth,-1.3205275220783157
Rutland,-1.3089091149387486
Barnet,-1.2731953223130732
Kingston upon Thames,-1.254791433053856
Greenwich,-1.2511078856174729
Newham,-1.1908971177475862
Lambeth,-1.1767306928324772
Merton,-1.125714945630853
Barking and Dagenham,-1.1186109612892583
