local_authority_code,Local Authority,Weighted Score
E09000001,City of London,-1.637221173735704
E06000041,Wokingham,-1.321017790543687
E09000027,Richmond upon Thames,-1.2460137093388024
E07000089,Hart,-1.1204576553314225
E09000021,Kingston upon Thames,-1.1095453695169537
E07000240,St Albans,-1.0398982790478082
E07000176,Rushcliffe,-1.0262393373584462
E06000017,Rutland,-0.9714865751166556
E07000094,Winchester,-0.962948503456073
E06000053,Isles of Scilly,-0.9567029413473688
E09000020,Kensington and Chelsea,-0.9475733671412638
E07000077,Uttlesford,-0.9410212045406195
E09000032,Wandsworth,-0.940431703187722
E07000208,Epsom and Ewell,-0.9369404618759828
E07000124,Ribble Valley,-0.9320950017533554
E07000216,Waverley,-0.9281987218164216
E07000207,Elmbridge,-0.927865269793148
E09000015,Harrow,-0.881194130785357
E06000040,Windsor and Maidenhead,-0.8784383828196168
E07000209,Guildford,-0.8615729701051771
