local_authority_name,value
City of London,-1.734081066153389
Waverley,-1.4584478102678966
Brentwood,-1.4160426939778208
Hart,-1.4160426939778208
Rutland,-1.394840135832783
Westminster,-1.3736375776877452
Uttlesford,-1.3100299032526317
Elmbridge,-1.2888273451075938
Kensington and Chelsea,-1.2888273451075938
East Hertfordshire,-1.2676247869625556
Kingston upon Thames,-1.246422228817518
Windsor and Maidenhead,-1.2252196706724798
Camden,-1.204017112527442
Richmond upon Thames,-1.204017112527442
Wokingham,-1.204017112527442
Mole Valley,-1.204017112527442
Bracknell Forest,-1.1828145543824042
Rushcliffe,-1.1404094380923284
Hammersmith and Fulham,-1.1404094380923284
Reigate and Banstead,-1.076801763657215
