local_authority_name,value
City of London,4.2240164104276525
Leicester,3.614503515931574
Nottingham,3.3774707236275434
Middlesbrough,3.021921535171497
Birmingham,2.971128793963491
Stoke-on-Trent,2.547855950563436
Oldham,2.530925036827434
Bradford,2.530925036827434
Pendle,2.497063209355429
Derby,2.4462704681474228
Sandwell,2.3954777269394167
Walsall,2.158444934635386
Hyndburn,2.090721279691377
Wolverhampton,2.056859452219373
East Lindsey,2.022997624747368
Blackburn with Darwen,2.0060667110113664
Boston,1.938343056067357
Lincoln,1.8706194011233488
Bolton,1.853688487387346
Burnley,1.8367575736513444
