local_authority_name,value
Manchester,2.5926774506293357
Rochdale,2.0720658336633284
Bradford,2.0392865837062097
Southampton,1.966015319096179
Oldham,1.931307877965112
"Kingston upon Hull, City of",1.888887672138252
Gravesham,1.859964804529029
Blackpool,1.8387547016155996
Burnley,1.7596988634837245
"Bristol, City of",1.7249914223526577
Haringey,1.6787148341779012
Tameside,1.657504731264471
Bolton,1.6362946283510411
Doncaster,1.622797290133404
Middlesbrough,1.6189409077855077
Salford,1.5900180401762851
Thanet,1.5688079372628554
Leeds,1.5514542166973218
Portsmouth,1.524459540262047
Hackney,1.464685613869654
