local_authority_name,value
City of London,-1.637221173735704
Wokingham,-1.321017790543687
Richmond upon Thames,-1.2460137093388024
Hart,-1.1204576553314225
Kingston upon Thames,-1.1095453695169537
St Albans,-1.0398982790478082
Rushcliffe,-1.0262393373584462
Rutland,-0.9714865751166556
Winchester,-0.962948503456073
Isles of Scilly,-0.9567029413473688
Kensington and Chelsea,-0.9475733671412638
Uttlesford,-0.9410212045406195
Wandsworth,-0.940431703187722
Epsom and Ewell,-0.9369404618759828
Ribble Valley,-0.9320950017533554
Waverley,-0.9281987218164216
Elmbridge,-0.927865269793148
Harrow,-0.881194130785357
Windsor and Maidenhead,-0.8784383828196168
Guildford,-0.8615729701051771
