local_authority_name,value
Isles of Scilly,-4.03084673256213
Havering,-2.263846710145257
Sutton,-1.8067291378129084
Redbridge,-1.7054806711461017
Cheshire East,-1.6250168948965868
Southend-on-Sea,-1.6156246786570967
Newham,-1.5543455412083214
Harrow,-1.4952492145558816
Trafford,-1.4297550468938574
Slough,-1.4014061080680895
Bexley,-1.2482809577213432
Wokingham,-1.2332239634081903
Milton Keynes,-1.2093360610217632
Peterborough,-1.2048753763879685
York,-1.1800582138325852
Barnet,-1.1510924735974797
Brent,-1.1355734690729071
Ealing,-1.1108427008202404
Richmond upon Thames,-1.052517965397442
Enfield,-1.0472635621631057
