local_authority_name,value
Lincoln,2.86382578999753
Thanet,2.786723641282428
Norwich,2.7079002973056885
Tendring,2.502718730438538
Isle of Wight,2.481058234370283
Torbay,2.4739309312771844
Wirral,2.4710419670424035
Plymouth,2.39249663055859
Brighton and Hove,2.239421274430238
Canterbury,2.212505968255597
Folkestone and Hythe,2.196924115075043
Great Yarmouth,2.161127889023646
Swale,2.026275948482521
East Lindsey,2.003023488300035
Hastings,1.9965030549211815
Dover,1.7828411795330823
Blackpool,1.7662917436500636
Sunderland,1.719004179845628
Lewes,1.6557590619785667
County Durham,1.6199146623799443
