local_authority_name,value
Castle Point,-1.742964739511932
Wyre,-1.3877257736631687
Wokingham,-1.3708096324322754
Oadby and Wigston,-1.336977349970488
Ribble Valley,-1.3200612087395946
Rochford,-1.3031450675087013
Fareham,-1.3031450675087013
Tendring,-1.2862289262778075
Blaby,-1.2862289262778075
Fylde,-1.269312785046914
Torbay,-1.269312785046914
Wealden,-1.2523966438160206
Staffordshire Moorlands,-1.2185643613542338
Rushcliffe,-1.2185643613542338
Harborough,-1.2016482201233405
Hart,-1.1847320788924467
Epsom and Ewell,-1.1847320788924467
North Somerset,-1.1170675139688728
Torridge,-1.100151372737979
Arun,-1.100151372737979
