local_authority_name,value
East Cambridgeshire,-1.3871555925827843
City of London,-1.3871555925827843
Copeland,-1.3871555925827843
Milton Keynes,-1.3871555925827843
North West Leicestershire,-1.3871555925827843
Harborough,-1.3871555925827843
Isles of Scilly,-1.3871555925827843
Wiltshire,-1.3128941547755937
Canterbury,-1.3060795757768162
Bracknell Forest,-1.293498814548304
West Oxfordshire,-1.2833643124475578
Leeds,-1.2793454581662276
Winchester,-1.2784717941920252
Folkestone and Hythe,-1.2728803447571309
Maidstone,-1.2655415673738322
Castle Point,-1.255407065273086
Sevenoaks,-1.2550575996834052
Swale,-1.2428263040445735
Huntingdonshire,-1.2417779072755313
Dartford,-1.2335654659180302
