local_authority_name,value
City of London,-3.43635991189264
Richmond upon Thames,-2.550297116461887
Cambridge,-2.492931335502356
Wandsworth,-2.4505829851828307
Kensington and Chelsea,-2.230004793628789
Camden,-2.0303298618868286
St Albans,-2.027295551049649
Hammersmith and Fulham,-2.00602906351952
Elmbridge,-1.9446264124175985
Westminster,-1.856986873727103
Winchester,-1.7933071469210733
Kingston upon Thames,-1.7412553235199146
Wokingham,-1.7128238655765586
Guildford,-1.6982306923790305
Oxford,-1.680263590169335
Waverley,-1.675142126170453
Rushcliffe,-1.604197652958799
Lambeth,-1.5966197270446254
Isles of Scilly,-1.5842798890008871
Islington,-1.554344992340736
