local_authority_name,value
Blackpool,3.832948798527069
North East Lincolnshire,2.9435952450932685
Stoke-on-Trent,2.6378799611004
Liverpool,2.554503065465981
Hartlepool,2.0820339902042746
City of London,2.026449393114662
"Kingston upon Hull, City of",1.943072497480244
Middlesbrough,1.943072497480244
Halton,1.4983957207633434
Stockton-on-Tees,1.4706034222185371
Tameside,1.3872265265841184
St. Helens,1.331641929494506
Gateshead,1.2482650338600871
Redcar and Cleveland,1.2482650338600871
Darlington,1.1926804367704746
Wirral,1.109303541136056
Torbay,1.0537189440464434
Newcastle upon Tyne,0.9981343469568308
Isle of Wight,0.9981343469568308
Southampton,0.9425497498672184
