local_authority_name,value
City of London,-1.996093530367792
Isles of Scilly,-1.9384654914176245
Hart,-1.8232094135172885
Elmbridge,-1.707953335616952
Wokingham,-1.707953335616952
Uttlesford,-1.5926972577166163
South Oxfordshire,-1.5350692187664483
Waverley,-1.5350692187664483
Windsor and Maidenhead,-1.5350692187664483
Surrey Heath,-1.4774411798162803
St Albans,-1.4774411798162803
Richmond upon Thames,-1.4774411798162803
Epsom and Ewell,-1.4774411798162803
Guildford,-1.4774411798162803
East Hertfordshire,-1.419813140866112
Cotswold,-1.419813140866112
Rutland,-1.419813140866112
Vale of White Horse,-1.3621851019159443
Horsham,-1.3621851019159443
Buckinghamshire,-1.3621851019159443
