local_authority_name,value
Swale,-2.1438643531576056
St Albans,-2.0096780997887604
South Hams,-1.87392123619887
Hart,-1.853005129099781
Dacorum,-1.777440496891238
Rutland,-1.7542647752050673
Stroud,-1.73279011437239
Derbyshire Dales,-1.713844085788515
North Norfolk,-1.6925644986107482
Winchester,-1.6478693699866986
Dover,-1.6197299517287185
East Cambridgeshire,-1.6063485845336345
Tandridge,-1.5560831655515237
Chelmsford,-1.5334301944987547
Hambleton,-1.4797894178317894
West Suffolk,-1.4247357814222597
Waverley,-1.4030138359963755
Bromley,-1.3973446185632274
Three Rivers,-1.3604453120659012
South Lakeland,-1.3546869240032933
