new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.76
E06000002,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-1.19
E06000003,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.84
E06000004,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.01
E06000005,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.25
E06000006,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.14
E06000007,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.08
E06000008,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.88
E06000009,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.25
E06000010,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-1.93
E06000011,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.02
E06000012,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-1.7
E06000013,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.92
E06000014,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.28
E06000015,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.32
E06000016,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.06
E06000017,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.41
E06000018,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,-0.16
E06000019,202223,Revised,Total,Ethnicity major,Unclassified,Total,Total,Total,Total,Total,avg_p8score,0.36
