new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.84
E06000002,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-1.03
E06000003,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.98
E06000004,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.79
E06000005,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.91
E06000006,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.84
E06000007,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.59
E06000008,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.81
E06000009,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-1.48
E06000010,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.88
E06000011,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.49
E06000012,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.96
E06000013,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.77
E06000014,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.41
E06000015,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.92
E06000016,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.68
E06000017,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,0.02
E06000018,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.79
E06000019,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.54
E06000020,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.84
E06000021,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.92
E06000022,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.57
E06000023,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.65
E06000024,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.65
E06000025,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.72
E06000026,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.78
E06000027,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-1.0
E06000030,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.73
E06000031,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.59
E06000032,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.65
E06000033,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.99
E06000034,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.54
E06000035,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.64
E06000036,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.61
E06000037,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.17
E06000038,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.75
E06000039,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.57
E06000040,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.43
E06000041,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.31
E06000042,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.73
E06000043,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.61
E06000044,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-1.13
E06000045,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-1.03
E06000046,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.42
E06000047,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.76
E06000049,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.75
E06000050,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.86
E06000051,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.69
E06000052,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.7
E06000053,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,1.87
E06000054,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.52
E06000055,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.64
E06000056,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.73
E06000057,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.89
E06000058,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.4
E06000059,202223,Revised,Total,SEN description,Total,Total,Total,Any SEN,Total,Total,avg_p8score,-0.7
