new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.12
E06000002,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.58
E06000003,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.9
E06000004,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.34
E06000005,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.59
E06000006,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.57
E06000007,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.88
E06000008,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.27
E06000009,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.65
E06000010,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.96
E06000011,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.9
E06000012,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.11
E06000013,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.98
E06000014,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.94
E06000015,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.36
E06000016,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.46
E06000017,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.16
E06000018,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.48
E06000019,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.05
E06000020,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.03
E06000021,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.15
E06000022,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-0.99
E06000023,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.44
E06000024,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.29
E06000025,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.25
E06000026,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.25
E06000027,202223,Revised,Total,SEN status,Total,Total,SEN State EHC,Total,Total,Total,avg_p8score,-1.31
