new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.89
E06000002,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.96
E06000003,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.9
E06000004,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.71
E06000005,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.87
E06000006,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.68
E06000007,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.71
E06000008,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.68
E06000009,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-1.33
E06000010,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.92
E06000011,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.68
E06000012,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.82
E06000013,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.77
E06000014,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.64
E06000015,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.71
E06000016,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.44
E06000017,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.46
E06000018,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.62
E06000019,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.93
E06000020,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.91
E06000021,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.81
E06000022,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.35
E06000023,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.61
E06000024,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.72
E06000025,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.63
E06000026,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.66
E06000027,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.84
E06000030,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.55
E06000031,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.3
E06000032,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.3
E06000033,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.79
E06000034,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.49
E06000035,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.75
E06000036,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.63
E06000037,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.53
E06000038,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.74
E06000039,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.43
E06000040,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.48
E06000041,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.43
E06000042,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.6
E06000043,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.74
E06000044,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged,Total,avg_p8score,-0.95
