new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.89
E06000002,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.48
E06000003,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.53
E06000004,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.58
E06000005,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.67
E06000006,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,1.03
E06000007,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.81
E06000008,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.51
E06000009,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.62
E06000010,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.65
E06000011,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,-0.22
E06000012,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.0
E06000013,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.45
E06000014,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,1.41
E06000015,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.46
E06000016,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.65
E06000017,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.97
E06000018,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.32
E06000019,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.77
E06000020,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.49
E06000021,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.14
E06000022,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.92
E06000023,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.58
E06000024,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.98
E06000025,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.55
E06000026,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.91
E06000027,202223,Revised,Total,Ethnicity major,Asian,Total,Total,Total,Total,Total,avg_p8score,0.86
