new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.51
E06000002,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.56
E06000003,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.34
E06000004,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.23
E06000005,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.25
E06000006,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.33
E06000007,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.12
E06000008,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.33
E06000009,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.92
E06000010,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.47
E06000011,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.11
E06000012,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.37
E06000013,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.24
E06000014,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.05
E06000015,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.25
E06000016,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.29
E06000017,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.23
E06000018,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.46
E06000019,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.3
E06000020,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.37
E06000021,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.49
E06000022,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.23
E06000023,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.13
E06000024,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.06
E06000025,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.02
E06000026,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.22
E06000027,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.11
E06000030,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.14
E06000031,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.02
E06000032,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.19
E06000033,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.01
E06000034,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.26
E06000035,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.19
E06000036,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.08
E06000037,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.19
E06000038,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.14
E06000039,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.03
E06000040,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.08
E06000041,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.28
E06000042,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.26
E06000043,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.08
E06000044,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.63
E06000045,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.54
E06000046,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.27
E06000047,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.15
E06000049,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.15
E06000050,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.08
E06000051,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.32
E06000052,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.13
E06000053,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.73
E06000054,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,-0.05
E06000055,202223,Revised,Total,First language,Total,Total,Total,Total,Total,English,avg_p8score,0.0
