country,country_code,sex,age,series,frequency,time,powercode,value
Australia,AUS,All persons,15 to 24,Employment,Annual,2022,Thousands,2082.3
Austria,AUT,All persons,15 to 24,Employment,Annual,2022,Thousands,467.6
Belgium,BEL,All persons,15 to 24,Employment,Annual,2022,Thousands,344.7
Canada,CAN,All persons,15 to 24,Employment,Annual,2022,Thousands,2628.0
Czechia,CZE,All persons,15 to 24,Employment,Annual,2022,Thousands,254.3
Denmark,DNK,All persons,15 to 24,Employment,Annual,2022,Thousands,396.6
Finland,FIN,All persons,15 to 24,Employment,Annual,2022,Thousands,292.3
France,FRA,All persons,15 to 24,Employment,Annual,2022,Thousands,2739.8
Germany,DEU,All persons,15 to 24,Employment,Annual,2022,Thousands,4202.4
Greece,GRC,All persons,15 to 24,Employment,Annual,2022,Thousands,168.6
Hungary,HUN,All persons,15 to 24,Employment,Annual,2022,Thousands,271.0
Iceland,ISL,All persons,15 to 24,Employment,Annual,2022,Thousands,29.5
Ireland,IRL,All persons,15 to 24,Employment,Annual,2022,Thousands,310.8
Italy,ITA,All persons,15 to 24,Employment,Annual,2022,Thousands,1145.8
Japan,JPN,All persons,15 to 24,Employment,Annual,2022,Thousands,5470.0
Korea,KOR,All persons,15 to 24,Employment,Annual,2022,Thousands,1433.9
Luxembourg,LUX,All persons,15 to 24,Employment,Annual,2022,Thousands,19.5
Mexico,MEX,All persons,15 to 24,Employment,Annual,2022,Thousands,9085.0
Netherlands,NLD,All persons,15 to 24,Employment,Annual,2022,Thousands,1621.3
New Zealand,NZL,All persons,15 to 24,Employment,Annual,2022,Thousands,391.2
Norway,NOR,All persons,15 to 24,Employment,Annual,2022,Thousands,372.3
Poland,POL,All persons,15 to 24,Employment,Annual,2022,Thousands,937.5
Portugal,PRT,All persons,15 to 24,Employment,Annual,2022,Thousands,273.3
Slovak Republic,SVK,All persons,15 to 24,Employment,Annual,2022,Thousands,113.6
Spain,ESP,All persons,15 to 24,Employment,Annual,2022,Thousands,1139.8
Sweden,SWE,All persons,15 to 24,Employment,Annual,2022,Thousands,519.7
Switzerland,CHE,All persons,15 to 24,Employment,Annual,2022,Thousands,530.6
Türkiye,TUR,All persons,15 to 24,Employment,Annual,2022,Thousands,4240.0
United Kingdom,GBR,All persons,15 to 24,Employment,Annual,2022,Thousands,3665.5
United States,USA,All persons,15 to 24,Employment,Annual,2022,Thousands,19378.0
OECD countries,OECD,All persons,15 to 24,Employment,Annual,2022,Thousands,69095.7
Israel,ISR,All persons,15 to 24,Employment,Annual,2022,Thousands,603.3
Chile,CHL,All persons,15 to 24,Employment,Annual,2022,Thousands,630.8
Slovenia,SVN,All persons,15 to 24,Employment,Annual,2022,Thousands,65.8
Estonia,EST,All persons,15 to 24,Employment,Annual,2022,Thousands,45.6
Lithuania,LTU,All persons,15 to 24,Employment,Annual,2022,Thousands,86.4
Latvia,LVA,All persons,15 to 24,Employment,Annual,2022,Thousands,54.6
Colombia,COL,All persons,15 to 24,Employment,Annual,2022,Thousands,2852.7
Costa Rica,CRI,All persons,15 to 24,Employment,Annual,2022,Thousands,231.6
