country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_29_WOMEN,PC_AGE,A,2022,11.0
AUT,NEET,15_29_WOMEN,PC_AGE,A,2022,10.8
BEL,NEET,15_29_WOMEN,PC_AGE,A,2022,10.0
CAN,NEET,15_29_WOMEN,PC_AGE,A,2022,9.8
CZE,NEET,15_29_WOMEN,PC_AGE,A,2022,17.6
DNK,NEET,15_29_WOMEN,PC_AGE,A,2022,10.5
FIN,NEET,15_29_WOMEN,PC_AGE,A,2022,10.5
FRA,NEET,15_29_WOMEN,PC_AGE,A,2022,13.6
DEU,NEET,15_29_WOMEN,PC_AGE,A,2022,10.4
GRC,NEET,15_29_WOMEN,PC_AGE,A,2022,17.0
HUN,NEET,15_29_WOMEN,PC_AGE,A,2022,13.4
ISL,NEET,15_29_WOMEN,PC_AGE,A,2022,6.6
IRL,NEET,15_29_WOMEN,PC_AGE,A,2022,9.5
ITA,NEET,15_29_WOMEN,PC_AGE,A,2022,24.1
MEX,NEET,15_29_WOMEN,PC_AGE,A,2022,29.5
NLD,NEET,15_29_WOMEN,PC_AGE,A,2022,4.7
NZL,NEET,15_29_WOMEN,PC_AGE,A,2022,13.1
NOR,NEET,15_29_WOMEN,PC_AGE,A,2022,6.4
POL,NEET,15_29_WOMEN,PC_AGE,A,2022,15.6
PRT,NEET,15_29_WOMEN,PC_AGE,A,2022,11.6
SVK,NEET,15_29_WOMEN,PC_AGE,A,2022,14.2
ESP,NEET,15_29_WOMEN,PC_AGE,A,2022,16.5
SWE,NEET,15_29_WOMEN,PC_AGE,A,2022,7.5
CHE,NEET,15_29_WOMEN,PC_AGE,A,2022,13.5
TUR,NEET,15_29_WOMEN,PC_AGE,A,2022,39.0
GBR,NEET,15_29_WOMEN,PC_AGE,A,2022,10.5
USA,NEET,15_29_WOMEN,PC_AGE,A,2022,16.2
BRA,NEET,15_29_WOMEN,PC_AGE,A,2022,25.8
COL,NEET,15_29_WOMEN,PC_AGE,A,2022,33.8
EST,NEET,15_29_WOMEN,PC_AGE,A,2022,10.2
ISR,NEET,15_29_WOMEN,PC_AGE,A,2022,14.9
LVA,NEET,15_29_WOMEN,PC_AGE,A,2022,14.1
LTU,NEET,15_29_WOMEN,PC_AGE,A,2022,13.4
SVN,NEET,15_29_WOMEN,PC_AGE,A,2022,11.3
ZAF,NEET,15_29_WOMEN,PC_AGE,A,2022,44.2
CRI,NEET,15_29_WOMEN,PC_AGE,A,2022,27.6
OAVG,NEET,15_29_WOMEN,PC_AGE,A,2022,14.7
BGR,NEET,15_29_WOMEN,PC_AGE,A,2022,19.2
ROU,NEET,15_29_WOMEN,PC_AGE,A,2022,25.6
