Country,country_code,sex,age,series,frequency,time,powercode,Number of people (thousands)
United States,USA,Men,15 to 24,Unemployment,Annual,2022,Thousands,944.0
Türkiye,TUR,Men,15 to 24,Unemployment,Annual,2022,Thousands,565.0
Colombia,COL,Men,15 to 24,Unemployment,Annual,2022,Thousands,376.6
Mexico,MEX,Men,15 to 24,Unemployment,Annual,2022,Thousands,369.6
France,FRA,Men,15 to 24,Unemployment,Annual,2022,Thousands,327.9
Spain,ESP,Men,15 to 24,Unemployment,Annual,2022,Thousands,254.8
United Kingdom,GBR,Men,15 to 24,Unemployment,Annual,2022,Thousands,247.2
Italy,ITA,Men,15 to 24,Unemployment,Annual,2022,Thousands,200.9
Canada,CAN,Men,15 to 24,Unemployment,Annual,2022,Thousands,166.2
Germany,DEU,Men,15 to 24,Unemployment,Annual,2022,Thousands,153.8
Japan,JPN,Men,15 to 24,Unemployment,Annual,2022,Thousands,140.0
Australia,AUS,Men,15 to 24,Unemployment,Annual,2022,Thousands,104.3
Chile,CHL,Men,15 to 24,Unemployment,Annual,2022,Thousands,72.2
Sweden,SWE,Men,15 to 24,Unemployment,Annual,2022,Thousands,69.9
Netherlands,NLD,Men,15 to 24,Unemployment,Annual,2022,Thousands,65.2
Poland,POL,Men,15 to 24,Unemployment,Annual,2022,Thousands,64.4
Costa Rica,CRI,Men,15 to 24,Unemployment,Annual,2022,Thousands,54.0
Korea,KOR,Men,15 to 24,Unemployment,Annual,2022,Thousands,47.7
Belgium,BEL,Men,15 to 24,Unemployment,Annual,2022,Thousands,39.7
