country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,20_24,PC_AGE,A,2022,10.2
AUT,NEET,20_24,PC_AGE,A,2022,10.8
BEL,NEET,20_24,PC_AGE,A,2022,10.8
CAN,NEET,20_24,PC_AGE,A,2022,12.8
CZE,NEET,20_24,PC_AGE,A,2022,9.9
DNK,NEET,20_24,PC_AGE,A,2022,11.7
FIN,NEET,20_24,PC_AGE,A,2022,12.0
FRA,NEET,20_24,PC_AGE,A,2022,16.7
DEU,NEET,20_24,PC_AGE,A,2022,8.9
GRC,NEET,20_24,PC_AGE,A,2022,19.5
HUN,NEET,20_24,PC_AGE,A,2022,14.2
ISL,NEET,20_24,PC_AGE,A,2022,6.2
IRL,NEET,20_24,PC_AGE,A,2022,10.9
ITA,NEET,20_24,PC_AGE,A,2022,26.4
MEX,NEET,20_24,PC_AGE,A,2022,20.8
NLD,NEET,20_24,PC_AGE,A,2022,4.4
NZL,NEET,20_24,PC_AGE,A,2022,13.8
NOR,NEET,20_24,PC_AGE,A,2022,7.6
POL,NEET,20_24,PC_AGE,A,2022,13.6
PRT,NEET,20_24,PC_AGE,A,2022,12.7
SVK,NEET,20_24,PC_AGE,A,2022,13.5
ESP,NEET,20_24,PC_AGE,A,2022,18.6
SWE,NEET,20_24,PC_AGE,A,2022,9.7
CHE,NEET,20_24,PC_AGE,A,2022,12.2
TUR,NEET,20_24,PC_AGE,A,2022,33.3
GBR,NEET,20_24,PC_AGE,A,2022,12.5
USA,NEET,20_24,PC_AGE,A,2022,16.4
BRA,NEET,20_24,PC_AGE,A,2022,24.3
EST,NEET,20_24,PC_AGE,A,2022,16.5
ISR,NEET,20_24,PC_AGE,A,2022,16.9
SVN,NEET,20_24,PC_AGE,A,2022,7.0
ZAF,NEET,20_24,PC_AGE,A,2022,54.6
OAVG,NEET,20_24,PC_AGE,A,2022,14.3
LVA,NEET,20_24,PC_AGE,A,2022,13.4
COL,NEET,20_24,PC_AGE,A,2022,27.8
LTU,NEET,20_24,PC_AGE,A,2022,15.1
CRI,NEET,20_24,PC_AGE,A,2022,20.1
BGR,NEET,20_24,PC_AGE,A,2022,18.1
ROU,NEET,20_24,PC_AGE,A,2022,24.1
