country_code,country,measure,sex,age,frequency,time_period,value,units
PRT,Portugal,Inactivity rate,Male,15 years or over,Annual,2022,37.0,Units
CHL,Chile,Inactivity rate,Male,15 years or over,Annual,2022,29.8,Units
LVA,Latvia,Inactivity rate,Male,15 years or over,Annual,2022,32.1,Units
OECD,OECD,Inactivity rate,Male,15 years or over,Annual,2022,31.3,Units
IRL,Ireland,Inactivity rate,Male,15 years or over,Annual,2022,29.5,Units
EU27_2020,European Union (27 countries from 01/02/2020),Inactivity rate,Male,15 years or over,Annual,2022,36.3,Units
BEL,Belgium,Inactivity rate,Male,15 years or over,Annual,2022,40.4,Units
MEX,Mexico,Inactivity rate,Male,15 years or over,Annual,2022,23.7,Units
JPN,Japan,Inactivity rate,Male,15 years or over,Annual,2022,28.5,Units
NZL,New Zealand,Inactivity rate,Male,15 years or over,Annual,2022,24.1,Units
USA,United States,Inactivity rate,Male,15 years or over,Annual,2022,32.0,Units
SVN,Slovenia,Inactivity rate,Male,15 years or over,Annual,2022,36.4,Units
GBR,United Kingdom,Inactivity rate,Male,15 years or over,Annual,2022,32.6,Units
CAN,Canada,Inactivity rate,Male,15 years or over,Annual,2022,30.5,Units
KOR,Korea,Inactivity rate,Male,15 years or over,Annual,2022,26.5,Units
NLD,Netherlands,Inactivity rate,Male,15 years or over,Annual,2022,27.6,Units
SVK,Slovak Republic,Inactivity rate,Male,15 years or over,Annual,2022,32.7,Units
ESP,Spain,Inactivity rate,Male,15 years or over,Annual,2022,37.1,Units
DNK,Denmark,Inactivity rate,Male,15 years or over,Annual,2022,32.6,Units
COL,Colombia,Inactivity rate,Male,15 years or over,Annual,2022,23.5,Units
GRC,Greece,Inactivity rate,Male,15 years or over,Annual,2022,39.6,Units
EA20,Euro area (20 countries),Inactivity rate,Male,15 years or over,Annual,2022,36.8,Units
ITA,Italy,Inactivity rate,Male,15 years or over,Annual,2022,41.9,Units
FIN,Finland,Inactivity rate,Male,15 years or over,Annual,2022,35.8,Units
TUR,Türkiye,Inactivity rate,Male,15 years or over,Annual,2022,28.6,Units
DEU,Germany,Inactivity rate,Male,15 years or over,Annual,2022,33.4,Units
HUN,Hungary,Inactivity rate,Male,15 years or over,Annual,2022,32.2,Units
NOR,Norway,Inactivity rate,Male,15 years or over,Annual,2022,30.4,Units
CZE,Czechia,Inactivity rate,Male,15 years or over,Annual,2022,32.0,Units
FRA,France,Inactivity rate,Male,15 years or over,Annual,2022,39.8,Units
AUT,Austria,Inactivity rate,Male,15 years or over,Annual,2022,33.1,Units
SWE,Sweden,Inactivity rate,Male,15 years or over,Annual,2022,29.6,Units
EST,Estonia,Inactivity rate,Male,15 years or over,Annual,2022,28.6,Units
ISL,Iceland,Inactivity rate,Male,15 years or over,Annual,2022,21.7,Units
LTU,Lithuania,Inactivity rate,Male,15 years or over,Annual,2022,32.3,Units
AUS,Australia,Inactivity rate,Male,15 years or over,Annual,2022,28.9,Units
LUX,Luxembourg,Inactivity rate,Male,15 years or over,Annual,2022,34.9,Units
CHE,Switzerland,Inactivity rate,Male,15 years or over,Annual,2022,28.0,Units
POL,Poland,Inactivity rate,Male,15 years or over,Annual,2022,34.5,Units
ISR,Israel,Inactivity rate,Male,15 years or over,Annual,2022,33.4,Units
CRI,Costa Rica,Inactivity rate,Male,15 years or over,Annual,2022,28.7,Units
