country_code,country,measure,sex,age,frequency,time_period,value,units
AUT,Austria,Unemployment rate,Male,15 years or over,Annual,2022,4.9,Units
CRI,Costa Rica,Unemployment rate,Male,15 years or over,Annual,2022,9.4,Units
LUX,Luxembourg,Unemployment rate,Male,15 years or over,Annual,2022,4.4,Units
ITA,Italy,Unemployment rate,Male,15 years or over,Annual,2022,7.1,Units
SVN,Slovenia,Unemployment rate,Male,15 years or over,Annual,2022,3.8,Units
LVA,Latvia,Unemployment rate,Male,15 years or over,Annual,2022,8.1,Units
NZL,New Zealand,Unemployment rate,Male,15 years or over,Annual,2022,3.1,Units
CHL,Chile,Unemployment rate,Male,15 years or over,Annual,2022,7.4,Units
GBR,United Kingdom,Unemployment rate,Male,15 years or over,Annual,2022,3.8,Units
FIN,Finland,Unemployment rate,Male,15 years or over,Annual,2022,7.0,Units
POL,Poland,Unemployment rate,Male,15 years or over,Annual,2022,2.8,Units
COL,Colombia,Unemployment rate,Male,15 years or over,Annual,2022,9.0,Units
SWE,Sweden,Unemployment rate,Male,15 years or over,Annual,2022,6.9,Units
AUS,Australia,Unemployment rate,Male,15 years or over,Annual,2022,3.8,Units
EU27_2020,European Union (27 countries from 01/02/2020),Unemployment rate,Male,15 years or over,Annual,2022,5.8,Units
LTU,Lithuania,Unemployment rate,Male,15 years or over,Annual,2022,6.4,Units
ESP,Spain,Unemployment rate,Male,15 years or over,Annual,2022,11.3,Units
NOR,Norway,Unemployment rate,Male,15 years or over,Annual,2022,3.4,Units
CZE,Czechia,Unemployment rate,Male,15 years or over,Annual,2022,1.8,Units
ISR,Israel,Unemployment rate,Male,15 years or over,Annual,2022,3.9,Units
CHE,Switzerland,Unemployment rate,Male,15 years or over,Annual,2022,4.1,Units
ZAF,South Africa,Unemployment rate,Male,15 years or over,Annual,2022,31.8,Units
IRL,Ireland,Unemployment rate,Male,15 years or over,Annual,2022,4.4,Units
ISL,Iceland,Unemployment rate,Male,15 years or over,Annual,2022,4.1,Units
KOR,Korea,Unemployment rate,Male,15 years or over,Annual,2022,2.8,Units
OECD,OECD,Unemployment rate,Male,15 years or over,Annual,2022,4.8,Units
DEU,Germany,Unemployment rate,Male,15 years or over,Annual,2022,3.3,Units
MEX,Mexico,Unemployment rate,Male,15 years or over,Annual,2022,3.2,Units
USA,United States,Unemployment rate,Male,15 years or over,Annual,2022,3.7,Units
EST,Estonia,Unemployment rate,Male,15 years or over,Annual,2022,6.1,Units
PRT,Portugal,Unemployment rate,Male,15 years or over,Annual,2022,5.6,Units
CAN,Canada,Unemployment rate,Male,15 years or over,Annual,2022,5.4,Units
TUR,Türkiye,Unemployment rate,Male,15 years or over,Annual,2022,9.0,Units
HUN,Hungary,Unemployment rate,Male,15 years or over,Annual,2022,3.7,Units
EA20,Euro area (20 countries),Unemployment rate,Male,15 years or over,Annual,2022,6.3,Units
GRC,Greece,Unemployment rate,Male,15 years or over,Annual,2022,9.3,Units
DNK,Denmark,Unemployment rate,Male,15 years or over,Annual,2022,4.4,Units
SVK,Slovak Republic,Unemployment rate,Male,15 years or over,Annual,2022,5.9,Units
JPN,Japan,Unemployment rate,Male,15 years or over,Annual,2022,2.8,Units
BEL,Belgium,Unemployment rate,Male,15 years or over,Annual,2022,5.8,Units
NLD,Netherlands,Unemployment rate,Male,15 years or over,Annual,2022,3.3,Units
FRA,France,Unemployment rate,Male,15 years or over,Annual,2022,7.5,Units
