country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,20_24_WOMEN,PC_AGE,A,2022,10.2
AUT,NEET,20_24_WOMEN,PC_AGE,A,2022,9.9
BEL,NEET,20_24_WOMEN,PC_AGE,A,2022,9.4
CAN,NEET,20_24_WOMEN,PC_AGE,A,2022,9.7
CZE,NEET,20_24_WOMEN,PC_AGE,A,2022,13.0
DNK,NEET,20_24_WOMEN,PC_AGE,A,2022,12.2
FIN,NEET,20_24_WOMEN,PC_AGE,A,2022,12.8
FRA,NEET,20_24_WOMEN,PC_AGE,A,2022,16.0
DEU,NEET,20_24_WOMEN,PC_AGE,A,2022,9.1
GRC,NEET,20_24_WOMEN,PC_AGE,A,2022,21.8
HUN,NEET,20_24_WOMEN,PC_AGE,A,2022,16.9
ISL,NEET,20_24_WOMEN,PC_AGE,A,2022,5.1
IRL,NEET,20_24_WOMEN,PC_AGE,A,2022,10.4
ITA,NEET,20_24_WOMEN,PC_AGE,A,2022,26.5
MEX,NEET,20_24_WOMEN,PC_AGE,A,2022,31.9
NLD,NEET,20_24_WOMEN,PC_AGE,A,2022,4.3
NZL,NEET,20_24_WOMEN,PC_AGE,A,2022,13.9
NOR,NEET,20_24_WOMEN,PC_AGE,A,2022,7.0
POL,NEET,20_24_WOMEN,PC_AGE,A,2022,13.8
PRT,NEET,20_24_WOMEN,PC_AGE,A,2022,11.4
SVK,NEET,20_24_WOMEN,PC_AGE,A,2022,13.2
ESP,NEET,20_24_WOMEN,PC_AGE,A,2022,17.9
SWE,NEET,20_24_WOMEN,PC_AGE,A,2022,9.7
CHE,NEET,20_24_WOMEN,PC_AGE,A,2022,9.4
TUR,NEET,20_24_WOMEN,PC_AGE,A,2022,45.2
GBR,NEET,20_24_WOMEN,PC_AGE,A,2022,11.7
USA,NEET,20_24_WOMEN,PC_AGE,A,2022,17.5
BRA,NEET,20_24_WOMEN,PC_AGE,A,2022,30.5
COL,NEET,20_24_WOMEN,PC_AGE,A,2022,37.8
EST,NEET,20_24_WOMEN,PC_AGE,A,2022,12.1
ISR,NEET,20_24_WOMEN,PC_AGE,A,2022,17.8
LVA,NEET,20_24_WOMEN,PC_AGE,A,2022,13.8
LTU,NEET,20_24_WOMEN,PC_AGE,A,2022,13.6
SVN,NEET,20_24_WOMEN,PC_AGE,A,2022,7.1
ZAF,NEET,20_24_WOMEN,PC_AGE,A,2022,56.2
CRI,NEET,20_24_WOMEN,PC_AGE,A,2022,29.0
OAVG,NEET,20_24_WOMEN,PC_AGE,A,2022,15.3
BGR,NEET,20_24_WOMEN,PC_AGE,A,2022,20.3
ROU,NEET,20_24_WOMEN,PC_AGE,A,2022,30.8
